trial durationTest direction radius durationComparison speed number size iniAngle1 durComp onset response
1 56 -1 4.0 5 15.849 1 1.0 297 74 55 1
2 56 -1 2.0 4 3.981 2 1.0 343 65 34 1
3 56 1 2.0 5 25.119 1 1.0 345 74 34 1
4 56 1 2.0 5 6.31 1 1.0 142 74 67 1
5 56 -1 4.0 3 25.119 1 1.0 218 56 79 1
6 56 -1 2.0 2 39.182 1 1.0 189 49 41 0
7 56 -1 4.0 4 3.981 1 1.0 86 65 52 0
8 56 1 2.0 5 39.182 2 1.0 1 74 32 1
9 56 1 4.0 2 10.0 2 1.0 311 49 47 0
10 56 -1 4.0 4 3.981 2 1.0 201 65 31 1
11 56 1 2.0 4 10.0 1 1.0 253 65 30 1
12 56 1 2.0 4 39.182 2 1.0 44 65 90 1
13 56 -1 2.0 1 3.981 1 1.0 145 43 58 0
14 56 1 4.0 4 10.0 1 1.0 322 65 45 1
15 56 -1 4.0 5 10.0 1 1.0 321 74 76 1
16 56 -1 4.0 1 3.981 1 1.0 131 43 76 0
17 56 1 4.0 5 15.849 1 1.0 12 74 64 1
18 56 -1 4.0 4 10.0 1 1.0 125 65 72 1
19 56 1 2.0 1 25.119 1 1.0 320 43 55 0
20 56 1 2.0 4 3.981 1 1.0 189 65 78 0
21 56 -1 4.0 3 6.31 2 1.0 103 56 70 1
22 56 -1 4.0 4 6.31 2 1.0 298 65 37 0
23 56 -1 2.0 5 3.981 2 1.0 307 74 66 1
24 56 1 2.0 1 6.31 1 1.0 189 43 53 0
25 56 -1 4.0 3 10.0 1 1.0 127 56 39 0
26 56 -1 2.0 2 6.31 1 1.0 45 49 34 0
27 56 1 2.0 2 15.849 2 1.0 292 49 68 0
28 56 -1 2.0 2 15.849 2 1.0 55 49 46 0
29 56 -1 2.0 1 15.849 1 1.0 317 43 59 0
30 56 1 2.0 3 10.0 1 1.0 336 56 40 0
31 56 -1 4.0 2 10.0 1 1.0 161 49 56 0
32 56 1 4.0 1 15.849 1 1.0 147 43 58 0
33 56 -1 2.0 3 3.981 2 1.0 77 56 34 1
34 56 1 2.0 1 3.981 2 1.0 5 43 86 0
35 56 -1 2.0 4 39.182 2 1.0 292 65 87 1
36 56 1 2.0 1 15.849 2 1.0 327 43 54 0
37 56 -1 4.0 2 6.31 2 1.0 318 49 49 0
38 56 1 2.0 4 6.31 2 1.0 2 65 46 1
39 56 1 2.0 4 25.119 1 1.0 335 65 62 1
40 56 -1 4.0 3 3.981 1 1.0 182 56 45 0
41 56 -1 4.0 2 15.849 1 1.0 222 49 87 0
42 56 -1 4.0 3 10.0 2 1.0 306 56 54 1
43 56 -1 2.0 3 15.849 1 1.0 192 56 72 0
44 56 1 2.0 2 3.981 1 1.0 103 49 82 0
45 56 1 4.0 2 15.849 2 1.0 211 49 87 1
46 56 -1 4.0 2 39.182 1 1.0 142 49 58 0
47 56 -1 2.0 2 6.31 2 1.0 188 49 48 1
48 56 1 4.0 4 15.849 1 1.0 301 65 56 0
49 56 -1 4.0 2 25.119 1 1.0 105 49 53 0
50 56 -1 4.0 1 25.119 1 1.0 274 43 81 0
51 56 -1 2.0 1 10.0 2 1.0 45 43 81 1
52 56 1 4.0 2 39.182 2 1.0 118 49 68 0
53 56 -1 2.0 2 39.182 2 1.0 93 49 72 0
54 56 -1 2.0 5 10.0 2 1.0 140 74 57 1
55 56 1 4.0 2 25.119 1 1.0 258 49 36 0
56 56 -1 4.0 3 15.849 2 1.0 43 56 34 1
57 56 -1 2.0 2 10.0 2 1.0 290 49 52 1
58 56 -1 4.0 2 39.182 2 1.0 127 49 55 0
59 56 1 2.0 3 15.849 1 1.0 319 56 86 1
60 56 1 2.0 2 10.0 2 1.0 260 49 84 0
61 56 1 4.0 1 39.182 1 1.0 71 43 44 0
