trial durationTest direction radius durationComparison speed number size iniAngle1 durComp onset speedMatchIni response
1 112 0 4.0 3 6.31 2 1.0 310 112 50 0.1 7.45734342845
2 112 0 4.0 3 6.31 1 1.0 255 112 53 60.0 6.71087518527
3 112 0 4.0 3 10.0 1 1.0 283 112 35 60.0 9.48146563674
4 112 0 4.0 3 39.182 2 1.0 339 112 87 0.1 29.0969517999
5 112 0 4.0 3 3.981 1 1.0 9 112 70 0.1 2.25545650427
6 112 0 2.0 3 15.849 2 1.0 148 112 64 0.1 26.8045360887
7 112 0 2.0 3 6.31 2 1.0 163 112 54 60.0 10.4950828596
8 112 0 2.0 3 39.182 2 1.0 331 112 36 0.1 62.4345386092
9 112 0 2.0 3 10.0 2 1.0 27 112 66 60.0 17.0095461139
10 112 0 4.0 3 10.0 2 1.0 111 112 33 0.1 10.1957451165
11 112 0 2.0 3 15.849 1 1.0 92 112 76 0.1 16.4144161772
12 112 0 4.0 3 25.119 2 1.0 195 112 64 0.1 17.9448246431
13 112 0 4.0 3 15.849 1 1.0 16 112 82 0.1 10.5098376756
14 112 0 2.0 3 25.119 2 1.0 235 112 70 60.0 43.2141213394
15 112 0 4.0 3 39.182 1 1.0 67 112 41 60.0 36.7625854398
16 112 0 2.0 3 25.119 1 1.0 327 112 45 0.1 24.3556989445
17 112 0 4.0 3 15.849 2 1.0 146 112 71 60.0 16.8103444611
18 112 0 2.0 3 3.981 2 1.0 282 112 80 0.1 4.02241840463
19 112 0 2.0 3 3.981 1 1.0 343 112 84 60.0 7.06303504912
20 112 0 2.0 3 10.0 1 1.0 283 112 65 0.1 9.86645729402
21 112 0 2.0 3 6.31 1 1.0 133 112 51 60.0 9.15119343446
22 112 0 4.0 3 25.119 1 1.0 235 112 73 60.0 22.7811584302
23 112 0 2.0 3 39.182 1 1.0 148 112 56 60.0 53.08416
24 112 0 4.0 3 3.981 2 1.0 229 112 48 60.0 5.25349860655
25 112 0 2.0 3 3.981 1 1.0 249 112 85 0.1 3.23980942025
26 112 0 2.0 3 15.849 1 1.0 309 112 41 60.0 18.8942250008
27 112 0 2.0 3 15.849 2 1.0 89 112 48 60.0 20.9739139744
28 112 0 4.0 3 39.182 1 1.0 117 112 87 60.0 33.2416317996
29 112 0 4.0 3 15.849 1 1.0 201 112 59 0.1 10.6256470846
30 112 0 2.0 3 6.31 2 1.0 149 112 49 60.0 11.8142526884
31 112 0 4.0 3 10.0 2 1.0 113 112 74 60.0 10.5605090536
32 112 0 4.0 3 25.119 2 1.0 170 112 89 60.0 20.1203191256
33 112 0 4.0 3 6.31 1 1.0 10 112 86 0.1 4.53491078555
34 112 0 4.0 3 3.981 1 1.0 313 112 37 60.0 4.95212492911
35 112 0 2.0 3 10.0 2 1.0 13 112 57 0.1 15.9784492836
36 112 0 4.0 3 25.119 1 1.0 111 112 35 60.0 23.0209600979
37 112 0 4.0 3 10.0 1 1.0 127 112 54 60.0 10.4462865877
38 112 0 2.0 3 3.981 2 1.0 184 112 52 60.0 6.57198480192
39 112 0 4.0 3 6.31 2 1.0 356 112 45 60.0 8.47836684054
40 112 0 2.0 3 25.119 1 1.0 64 112 84 60.0 45.0868486865
41 112 0 4.0 3 39.182 2 1.0 357 112 83 0.1 31.8551706592
42 112 0 2.0 3 6.31 1 1.0 248 112 37 0.1 5.51434597489
43 112 0 2.0 3 39.182 2 1.0 250 112 79 0.1 63.9095849436
44 112 0 4.0 3 3.981 2 1.0 321 112 84 0.1 4.1089805284
45 112 0 2.0 3 39.182 1 1.0 55 112 88 60.0 53.08416
46 112 0 2.0 3 25.119 2 1.0 79 112 65 60.0 44.3059981386
47 112 0 4.0 3 15.849 2 1.0 145 112 76 60.0 20.758850891
48 112 0 2.0 3 10.0 1 1.0 155 112 43 0.1 10.6685618815
