trial durationTest direction radius durationComparison speed number size iniAngle1 durComp onset response
1 112 -1 4.0 1 15.849 1 1.0 302 85 66 0
2 112 1 2.0 3 15.849 2 1.0 153 112 54 1
3 112 1 2.0 5 25.119 1 1.0 43 148 46 1
4 112 -1 2.0 3 15.849 1 1.0 56 112 45 0
5 112 -1 2.0 5 15.849 1 1.0 142 148 55 1
6 112 -1 2.0 1 3.981 1 1.0 107 85 68 0
7 112 -1 4.0 1 6.31 2 1.0 337 85 35 1
8 112 1 2.0 4 25.119 2 1.0 246 129 81 1
9 112 -1 4.0 4 3.981 2 1.0 237 129 66 1
10 112 -1 4.0 3 25.119 2 1.0 20 112 76 0
11 112 1 2.0 3 6.31 1 1.0 283 112 38 0
12 112 1 2.0 2 25.119 2 1.0 207 98 70 0
13 112 -1 4.0 5 10.0 1 1.0 332 148 88 1
14 112 1 2.0 4 3.981 1 1.0 102 129 31 1
15 112 1 4.0 3 39.182 2 1.0 14 112 62 1
16 112 1 4.0 1 15.849 1 1.0 255 85 50 0
17 112 1 2.0 4 39.182 2 1.0 77 129 67 1
18 112 1 4.0 3 10.0 1 1.0 188 112 85 0
19 112 -1 2.0 2 15.849 1 1.0 50 98 59 0
20 112 1 2.0 4 3.981 2 1.0 325 129 36 1
21 112 -1 2.0 2 6.31 1 1.0 0 98 31 0
22 112 1 4.0 1 3.981 2 1.0 358 85 35 0
23 112 -1 2.0 3 6.31 2 1.0 107 112 46 0
24 112 1 4.0 1 3.981 1 1.0 103 85 63 0
25 112 1 2.0 3 10.0 2 1.0 83 112 68 0
26 112 -1 4.0 5 3.981 1 1.0 344 148 45 1
27 112 1 2.0 5 15.849 1 1.0 293 148 44 1
28 112 -1 4.0 5 15.849 1 1.0 344 148 65 0
29 112 1 2.0 4 6.31 2 1.0 140 129 49 0
30 112 1 2.0 3 3.981 2 1.0 148 112 75 0
31 112 -1 2.0 4 39.182 1 1.0 108 129 39 0
32 112 1 2.0 2 6.31 1 1.0 18 98 56 0
33 112 -1 2.0 4 10.0 2 1.0 249 129 31 1
34 112 1 4.0 4 6.31 1 1.0 125 129 44 1
35 112 -1 4.0 3 3.981 1 1.0 200 112 61 1
36 112 1 4.0 1 39.182 1 1.0 277 85 64 1
37 112 1 4.0 5 3.981 1 1.0 93 148 30 1
38 112 1 4.0 1 6.31 1 1.0 108 85 67 0
39 112 1 4.0 2 10.0 2 1.0 242 98 61 0
40 112 1 4.0 3 25.119 2 1.0 81 112 74 1
41 112 -1 4.0 2 6.31 1 1.0 244 98 46 0
42 112 1 2.0 4 25.119 1 1.0 57 129 90 1
43 112 -1 2.0 2 15.849 2 1.0 28 98 65 0
44 112 1 2.0 3 39.182 2 1.0 112 112 56 1
45 112 1 4.0 2 6.31 2 1.0 293 98 75 1
46 112 1 4.0 4 3.981 1 1.0 73 129 56 1
47 112 1 4.0 3 10.0 2 1.0 88 112 82 1
48 112 -1 4.0 1 39.182 1 1.0 26 85 87 1
49 112 -1 4.0 3 10.0 2 1.0 71 112 86 1
50 112 1 2.0 3 3.981 1 1.0 231 112 54 1
51 112 1 2.0 5 6.31 1 1.0 60 148 48 0
52 112 1 2.0 5 39.182 1 1.0 224 148 50 1
53 112 1 2.0 5 25.119 2 1.0 3 148 81 1
54 112 1 4.0 5 3.981 2 1.0 184 148 67 1
55 112 1 4.0 2 39.182 2 1.0 294 98 88 0
56 112 -1 4.0 5 15.849 2 1.0 112 148 49 1
57 112 -1 2.0 3 15.849 2 1.0 20 112 63 0
58 112 1 4.0 4 3.981 2 1.0 83 129 64 1
59 112 -1 2.0 5 3.981 2 1.0 289 148 67 1
60 112 1 2.0 5 3.981 1 1.0 247 148 88 1
61 112 1 2.0 1 6.31 1 1.0 317 85 67 0
62 112 1 4.0 5 25.119 1 1.0 19 148 35 1
63 112 1 2.0 1 39.182 1 1.0 320 85 90 0
64 112 -1 4.0 3 10.0 1 1.0 100 112 42 1
65 112 1 4.0 1 6.31 2 1.0 224 85 30 0
66 112 -1 4.0 3 39.182 1 1.0 286 112 60 1
67 112 1 2.0 2 10.0 2 1.0 137 98 70 0
68 112 1 2.0 5 6.31 2 1.0 345 148 62 1
69 112 -1 2.0 3 39.182 1 1.0 213 112 63 0
70 112 -1 2.0 1 15.849 1 1.0 101 85 42 0
71 112 1 2.0 1 15.849 2 1.0 33 85 77 0
72 112 1 2.0 2 39.182 2 1.0 96 98 82 1
73 112 -1 2.0 2 10.0 2 1.0 164 98 87 0
74 112 -1 2.0 4 15.849 2 1.0 2 129 65 1
75 112 -1 4.0 4 10.0 2 1.0 345 129 68 1
76 112 1 2.0 1 10.0 2 1.0 24 85 54 0
77 112 -1 2.0 1 15.849 2 1.0 103 85 41 1
78 112 1 4.0 5 15.849 1 1.0 215 148 33 1
79 112 -1 4.0 5 6.31 1 1.0 163 148 61 1
80 112 -1 2.0 2 3.981 2 1.0 167 98 30 0
81 112 1 2.0 4 6.31 1 1.0 334 129 49 0
82 112 -1 2.0 4 3.981 2 1.0 253 129 80 1
83 112 -1 4.0 5 6.31 2 1.0 189 148 40 1
84 112 1 2.0 2 10.0 1 1.0 231 98 49 0
85 112 -1 2.0 4 15.849 1 1.0 243 129 51 1
86 112 -1 2.0 2 3.981 1 1.0 157 98 85 0
87 112 1 4.0 4 10.0 2 1.0 172 129 85 1
88 112 -1 4.0 1 6.31 1 1.0 195 85 34 0
89 112 1 4.0 5 15.849 2 1.0 59 148 43 1
90 112 1 2.0 1 3.981 1 1.0 111 85 69 0
91 112 -1 4.0 4 15.849 2 1.0 82 129 87 1
92 112 -1 4.0 2 3.981 2 1.0 191 98 84 0
93 112 -1 4.0 2 3.981 1 1.0 142 98 47 1
94 112 1 4.0 4 39.182 1 1.0 23 129 77 1
95 112 -1 4.0 1 25.119 1 1.0 163 85 46 0
96 112 -1 2.0 2 6.31 2 1.0 341 98 34 0
97 112 -1 2.0 4 10.0 1 1.0 320 129 74 0
98 112 -1 4.0 3 3.981 2 1.0 338 112 88 1
99 112 1 2.0 2 3.981 2 1.0 49 98 78 1
100 112 -1 4.0 4 25.119 1 1.0 309 129 32 1
101 112 -1 4.0 5 39.182 2 1.0 324 148 85 1
102 112 -1 2.0 1 10.0 2 1.0 135 85 66 0
103 112 1 2.0 1 3.981 2 1.0 31 85 44 0
104 112 1 4.0 4 6.31 2 1.0 357 129 58 1
105 112 -1 2.0 4 25.119 2 1.0 267 129 81 0
106 112 -1 2.0 1 25.119 1 1.0 203 85 87 0
107 112 -1 2.0 5 39.182 2 1.0 163 148 41 1
108 112 -1 2.0 5 10.0 2 1.0 307 148 39 1
109 112 -1 2.0 3 3.981 2 1.0 117 112 68 1
110 112 1 4.0 5 6.31 2 1.0 291 148 82 1
111 112 1 4.0 4 39.182 2 1.0 268 129 40 1
112 112 -1 2.0 3 10.0 2 1.0 211 112 36 1
113 112 1 2.0 1 10.0 1 1.0 321 85 34 0
114 112 -1 4.0 2 10.0 1 1.0 71 98 58 1
115 112 -1 2.0 2 10.0 1 1.0 13 98 66 0
116 112 -1 2.0 5 3.981 1 1.0 104 148 58 1
117 112 1 2.0 1 25.119 1 1.0 339 85 46 0
118 112 -1 4.0 1 10.0 1 1.0 320 85 63 1
119 112 -1 2.0 3 39.182 2 1.0 143 112 48 1
120 112 1 2.0 3 39.182 1 1.0 20 112 45 1
121 112 1 4.0 2 39.182 1 1.0 324 98 47 0
122 112 1 4.0 2 15.849 1 1.0 180 98 37 1
123 112 -1 4.0 4 39.182 2 1.0 333 129 42 1
124 112 1 2.0 5 10.0 2 1.0 43 148 40 0
125 112 -1 4.0 4 15.849 1 1.0 155 129 57 0
126 112 1 2.0 1 15.849 1 1.0 349 85 68 0
127 112 -1 4.0 5 3.981 2 1.0 36 148 32 1
128 112 1 2.0 2 39.182 1 1.0 67 98 30 0
129 112 1 2.0 3 25.119 1 1.0 240 112 90 1
130 112 1 2.0 2 25.119 1 1.0 44 98 47 0
131 112 1 2.0 2 15.849 1 1.0 113 98 36 0
132 112 -1 4.0 1 3.981 2 1.0 43 85 48 0
133 112 1 4.0 2 25.119 1 1.0 292 98 50 0
134 112 -1 2.0 1 39.182 2 1.0 113 85 77 1
135 112 -1 2.0 3 10.0 1 1.0 249 112 34 0
136 112 1 4.0 1 10.0 2 1.0 242 85 37 0
137 112 -1 2.0 4 6.31 2 1.0 328 129 78 1
138 112 -1 2.0 5 6.31 2 1.0 229 148 72 1
139 112 -1 2.0 3 3.981 1 1.0 242 112 63 0
140 112 -1 4.0 5 25.119 2 1.0 104 148 61 1
141 112 -1 2.0 3 6.31 1 1.0 334 112 82 1
142 112 -1 4.0 1 39.182 2 1.0 99 85 85 0
143 112 1 2.0 3 10.0 1 1.0 149 112 80 0
144 112 1 4.0 3 25.119 1 1.0 113 112 54 0
145 112 1 2.0 5 10.0 1 1.0 11 148 42 0
146 112 -1 2.0 5 25.119 2 1.0 48 148 86 1
147 112 -1 4.0 1 10.0 2 1.0 256 85 74 0
148 112 -1 2.0 1 6.31 2 1.0 167 85 65 0
149 112 -1 4.0 3 25.119 1 1.0 134 112 82 0
150 112 -1 4.0 2 15.849 2 1.0 284 98 64 0
151 112 1 4.0 3 15.849 1 1.0 236 112 68 0
152 112 1 4.0 5 39.182 2 1.0 359 148 31 1
153 112 1 4.0 5 25.119 2 1.0 277 148 59 1
154 112 -1 4.0 3 6.31 2 1.0 235 112 85 0
155 112 -1 2.0 4 25.119 1 1.0 69 129 30 1
156 112 -1 4.0 2 25.119 2 1.0 81 98 89 0
157 112 -1 2.0 2 39.182 2 1.0 344 98 64 0
158 112 -1 4.0 4 10.0 1 1.0 54 129 39 0
159 112 1 2.0 5 3.981 2 1.0 18 148 54 1
160 112 -1 2.0 4 39.182 2 1.0 256 129 55 1
161 112 -1 4.0 2 39.182 2 1.0 117 98 62 0
162 112 -1 4.0 1 25.119 2 1.0 297 85 76 0
163 112 -1 4.0 4 3.981 1 1.0 210 129 58 1
164 112 -1 4.0 1 3.981 1 1.0 44 85 68 0
165 112 -1 2.0 3 25.119 1 1.0 307 112 71 1
166 112 1 4.0 1 25.119 1 1.0 252 85 58 0
167 112 1 2.0 2 6.31 2 1.0 320 98 89 0
168 112 -1 2.0 4 6.31 1 1.0 9 129 54 0
169 112 1 4.0 3 6.31 2 1.0 38 112 54 0
170 112 1 4.0 4 25.119 1 1.0 151 129 57 1
171 112 1 2.0 4 15.849 2 1.0 160 129 39 1
172 112 1 4.0 5 10.0 2 1.0 233 148 80 1
173 112 1 2.0 3 15.849 1 1.0 176 112 57 0
174 112 1 4.0 2 15.849 2 1.0 152 98 54 1
175 112 1 4.0 2 10.0 1 1.0 291 98 56 0
176 112 -1 2.0 5 6.31 1 1.0 143 148 54 1
177 112 -1 4.0 1 15.849 2 1.0 265 85 61 0
178 112 -1 2.0 5 15.849 2 1.0 347 148 31 1
179 112 1 4.0 2 3.981 2 1.0 209 98 79 0
180 112 -1 2.0 1 25.119 2 1.0 249 85 50 1
181 112 1 4.0 4 25.119 2 1.0 136 129 67 1
182 112 -1 4.0 5 25.119 1 1.0 82 148 87 1
183 112 1 4.0 2 25.119 2 1.0 286 98 80 0
184 112 -1 4.0 5 39.182 1 1.0 177 148 31 1
185 112 -1 2.0 5 10.0 1 1.0 92 148 87 1
186 112 1 4.0 4 15.849 2 1.0 100 129 51 1
187 112 -1 2.0 1 39.182 1 1.0 106 85 46 1
188 112 1 2.0 3 6.31 2 1.0 115 112 39 0
189 112 1 4.0 5 10.0 1 1.0 93 148 76 1
190 112 1 4.0 1 10.0 1 1.0 344 85 41 0
191 112 -1 2.0 2 25.119 1 1.0 120 98 32 0
192 112 -1 2.0 1 10.0 1 1.0 40 85 32 0
193 112 -1 2.0 5 39.182 1 1.0 259 148 69 1
194 112 1 4.0 3 39.182 1 1.0 85 112 66 0
195 112 -1 4.0 2 10.0 2 1.0 56 98 48 0
196 112 1 2.0 1 6.31 2 1.0 141 85 54 0
197 112 1 2.0 4 39.182 1 1.0 292 129 88 1
198 112 1 4.0 3 15.849 2 1.0 61 112 56 0
199 112 1 4.0 5 6.31 1 1.0 63 148 56 1
200 112 1 4.0 4 10.0 1 1.0 210 129 36 1
201 112 -1 4.0 3 15.849 2 1.0 97 112 65 0
202 112 -1 2.0 2 25.119 2 1.0 84 98 82 0
203 112 1 2.0 4 10.0 2 1.0 296 129 43 0
204 112 1 2.0 4 10.0 1 1.0 241 129 82 1
205 112 -1 4.0 4 6.31 1 1.0 311 129 53 1
206 112 -1 2.0 1 6.31 1 1.0 54 85 35 1
207 112 -1 4.0 2 15.849 1 1.0 67 98 54 0
208 112 1 2.0 5 39.182 2 1.0 83 148 72 1
209 112 1 2.0 3 25.119 2 1.0 297 112 38 1
210 112 -1 4.0 3 15.849 1 1.0 175 112 70 0
211 112 -1 4.0 2 25.119 1 1.0 270 98 44 1
212 112 1 4.0 4 15.849 1 1.0 113 129 31 1
213 112 1 2.0 1 39.182 2 1.0 333 85 87 1
214 112 -1 4.0 3 6.31 1 1.0 222 112 73 1
215 112 -1 4.0 4 39.182 1 1.0 235 129 90 1
216 112 -1 4.0 3 39.182 2 1.0 222 112 44 1
