trial durationTest direction radius durationComparison speed number size iniAngle1 durComp onset speedMatchIni response
1 112 0 2.0 3 15.849 1 1.0 353 112 80 0.1 9.29348441838
2 112 0 4.0 3 3.981 1 1.0 79 112 61 0.1 4.01045327773
3 112 0 2.0 3 10.0 1 1.0 8 112 59 60.0 8.86573704132
4 112 0 2.0 3 39.182 1 1.0 197 112 84 60.0 54.447918025
5 112 0 4.0 3 39.182 2 1.0 181 112 54 0.1 40.1679203724
6 112 0 2.0 3 6.31 2 1.0 106 112 62 60.0 9.99425145884
7 112 0 4.0 3 15.849 1 1.0 180 112 36 60.0 11.2896891999
8 112 0 4.0 3 15.849 2 1.0 15 112 76 60.0 13.7226625933
9 112 0 4.0 3 6.31 2 1.0 220 112 46 0.1 6.66756795671
10 112 0 2.0 3 15.849 2 1.0 114 112 36 60.0 22.4725600062
11 112 0 4.0 3 10.0 1 1.0 108 112 46 60.0 11.6433915974
12 112 0 4.0 3 39.182 1 1.0 159 112 35 60.0 26.54208
13 112 0 4.0 3 6.31 1 1.0 233 112 55 60.0 6.09574194241
14 112 0 2.0 3 25.119 1 1.0 321 112 60 0.1 20.8631529916
15 112 0 2.0 3 25.119 2 1.0 168 112 55 0.1 23.5230648921
16 112 0 2.0 3 39.182 2 1.0 322 112 62 60.0 35.2512
17 112 0 2.0 3 3.981 2 1.0 63 112 70 60.0 5.25633302831
18 112 0 2.0 3 3.981 1 1.0 78 112 37 60.0 5.73822068266
19 112 0 4.0 3 25.119 2 1.0 256 112 85 0.1 20.0585205489
20 112 0 2.0 3 10.0 2 1.0 83 112 37 60.0 14.6754212538
21 112 0 4.0 3 25.119 1 1.0 96 112 79 60.0 18.24768
22 112 0 4.0 3 3.981 2 1.0 123 112 89 60.0 5.4594275465
23 112 0 4.0 3 10.0 2 1.0 251 112 46 0.1 7.23661746804
24 112 0 2.0 3 6.31 1 1.0 298 112 80 60.0 8.819543561
