trial durationTest direction radius durationComparison speed number size iniAngle1 durComp onset response
1 112 1 4.0 3 15.849 1 1.0 231 112 59 0
2 112 -1 2.0 3 3.981 1 1.0 176 112 66 0
3 112 1 4.0 1 25.119 1 1.0 327 85 30 0
4 112 1 4.0 5 6.31 2 1.0 4 148 62 1
5 112 -1 4.0 1 39.182 1 1.0 320 85 45 0
6 112 1 4.0 1 25.119 2 1.0 299 85 62 0
7 112 -1 4.0 3 25.119 1 1.0 158 112 62 0
8 112 1 4.0 4 6.31 1 1.0 15 129 73 0
9 112 -1 2.0 4 10.0 2 1.0 257 129 64 0
10 112 1 4.0 4 15.849 1 1.0 147 129 88 1
11 112 -1 4.0 2 25.119 2 1.0 183 98 41 0
12 112 1 2.0 5 25.119 1 1.0 105 148 33 0
13 112 -1 2.0 3 6.31 1 1.0 256 112 87 0
14 112 -1 4.0 3 10.0 1 1.0 315 112 40 0
15 112 1 4.0 1 15.849 2 1.0 340 85 80 0
16 112 1 4.0 1 3.981 2 1.0 157 85 37 0
17 112 1 2.0 2 25.119 2 1.0 281 98 61 0
18 112 -1 4.0 2 6.31 2 1.0 178 98 33 0
19 112 -1 2.0 4 3.981 1 1.0 263 129 55 0
20 112 -1 4.0 4 10.0 2 1.0 197 129 44 0
21 112 1 2.0 4 39.182 2 1.0 313 129 75 1
22 112 -1 4.0 3 15.849 1 1.0 50 112 47 0
23 112 -1 4.0 2 39.182 2 1.0 184 98 57 1
24 112 1 2.0 1 10.0 2 1.0 316 85 41 0
25 112 -1 2.0 2 6.31 2 1.0 26 98 80 0
26 112 1 4.0 5 15.849 1 1.0 325 148 77 0
27 112 -1 2.0 4 15.849 2 1.0 257 129 45 1
28 112 1 4.0 4 6.31 2 1.0 51 129 67 0
29 112 -1 2.0 1 6.31 1 1.0 336 85 46 0
30 112 1 2.0 4 3.981 1 1.0 199 129 67 0
31 112 -1 2.0 5 3.981 2 1.0 56 148 41 0
32 112 -1 2.0 3 10.0 1 1.0 250 112 57 0
33 112 1 4.0 4 39.182 1 1.0 28 129 77 1
34 112 1 4.0 3 39.182 2 1.0 236 112 63 0
35 112 1 2.0 4 3.981 2 1.0 323 129 44 0
36 112 -1 4.0 4 39.182 1 1.0 116 129 58 0
