trial durationTest direction radius durationComparison speed number size iniAngle1 durComp onset response
1 112 1 4.0 2 3.981 1 1.0 15 98 87 0
2 112 -1 2.0 1 25.119 2 1.0 353 85 90 1
3 112 -1 2.0 2 25.119 2 1.0 120 98 44 0
4 112 1 2.0 2 6.31 2 1.0 154 98 39 0
5 112 -1 2.0 5 15.849 1 1.0 8 148 72 1
6 112 -1 2.0 3 15.849 2 1.0 81 112 39 0
7 112 1 4.0 1 25.119 1 1.0 180 85 42 1
8 112 -1 2.0 2 10.0 1 1.0 165 98 83 0
9 112 -1 4.0 1 25.119 2 1.0 313 85 55 0
10 112 1 2.0 4 39.182 1 1.0 111 129 65 0
11 112 1 2.0 2 3.981 1 1.0 165 98 89 0
12 112 -1 4.0 1 15.849 2 1.0 62 85 43 0
13 112 1 4.0 2 15.849 1 1.0 43 98 62 0
14 112 1 2.0 1 15.849 1 1.0 276 85 77 0
15 112 -1 4.0 4 3.981 2 1.0 31 129 59 0
16 112 -1 4.0 1 39.182 1 1.0 84 85 78 0
17 112 1 4.0 4 3.981 1 1.0 30 129 71 0
18 112 -1 2.0 4 25.119 2 1.0 139 129 51 1
19 112 -1 4.0 1 25.119 1 1.0 114 85 58 0
20 112 1 2.0 5 25.119 2 1.0 314 148 52 0
21 112 1 2.0 3 25.119 1 1.0 59 112 49 1
22 112 1 2.0 2 15.849 1 1.0 289 98 64 0
23 112 1 4.0 2 15.849 2 1.0 61 98 46 0
24 112 -1 4.0 4 15.849 1 1.0 119 129 70 0
25 112 1 2.0 4 25.119 1 1.0 207 129 48 0
26 112 -1 2.0 2 10.0 2 1.0 51 98 33 0
27 112 -1 2.0 5 3.981 2 1.0 248 148 52 0
28 112 1 2.0 4 39.182 2 1.0 328 129 53 1
29 112 1 4.0 4 39.182 1 1.0 243 129 55 0
30 112 -1 2.0 3 25.119 1 1.0 96 112 69 0
31 112 1 4.0 3 6.31 2 1.0 142 112 57 0
32 112 -1 4.0 4 3.981 1 1.0 46 129 34 0
