trial durationTest direction radius durationComparison speed number size iniAngle1 durComp onset response
1 56 -1 2.0 5 25.119 1 1.0 86 89 49 1
2 56 1 4.0 4 6.31 2 1.0 29 71 80 0
3 56 -1 4.0 5 25.119 1 1.0 266 89 65 1
4 56 1 2.0 2 3.981 2 1.0 16 45 32 0
5 56 1 4.0 1 10.0 1 1.0 323 35 83 0
6 56 1 4.0 3 25.119 2 1.0 147 56 59 1
7 56 1 2.0 3 39.182 2 1.0 185 56 64 1
8 56 -1 4.0 1 10.0 2 1.0 75 35 50 0
9 56 -1 2.0 4 6.31 2 1.0 185 71 86 0
10 56 1 4.0 4 39.182 2 1.0 48 71 49 1
11 56 1 4.0 3 3.981 2 1.0 61 56 64 0
12 56 -1 2.0 5 39.182 1 1.0 30 89 89 0
13 56 -1 4.0 1 3.981 1 1.0 29 35 90 0
14 56 -1 2.0 5 39.182 2 1.0 70 89 75 1
15 56 1 4.0 1 25.119 1 1.0 4 35 54 1
16 56 1 4.0 4 25.119 2 1.0 17 71 65 1
17 56 1 2.0 5 6.31 1 1.0 152 89 41 1
18 56 1 4.0 4 6.31 1 1.0 311 71 82 0
19 56 1 2.0 3 10.0 1 1.0 240 56 74 0
20 56 1 4.0 4 3.981 1 1.0 189 71 63 0
21 56 1 2.0 5 3.981 2 1.0 57 89 41 0
22 56 -1 4.0 4 6.31 1 1.0 329 71 30 0
23 56 1 4.0 2 3.981 2 1.0 65 45 35 0
24 56 1 2.0 1 25.119 2 1.0 265 35 43 1
25 56 -1 2.0 5 15.849 2 1.0 329 89 63 1
26 56 1 4.0 5 6.31 1 1.0 271 89 35 0
27 56 -1 2.0 3 3.981 1 1.0 346 56 69 0
28 56 -1 2.0 1 25.119 1 1.0 44 35 72 0
29 56 1 4.0 3 10.0 1 1.0 346 56 74 0
30 56 -1 4.0 3 6.31 1 1.0 336 56 46 0
31 56 1 2.0 1 15.849 1 1.0 282 35 66 0
32 56 -1 2.0 2 3.981 2 1.0 185 45 47 0
33 56 1 2.0 4 10.0 1 1.0 343 71 67 0
34 56 1 2.0 3 15.849 1 1.0 164 56 44 0
35 56 1 4.0 1 15.849 1 1.0 169 35 60 0
36 56 -1 2.0 3 15.849 2 1.0 37 56 56 1
37 56 -1 2.0 3 10.0 2 1.0 326 56 44 1
38 56 1 2.0 3 6.31 1 1.0 253 56 41 1
39 56 -1 2.0 1 3.981 1 1.0 190 35 80 1
40 56 1 2.0 1 15.849 2 1.0 178 35 52 0
41 56 1 4.0 2 25.119 1 1.0 110 45 33 1
42 56 1 2.0 4 15.849 1 1.0 136 71 42 0
43 56 -1 2.0 1 39.182 1 1.0 332 35 32 0
44 56 1 2.0 5 15.849 1 1.0 123 89 55 1
45 56 -1 4.0 5 15.849 2 1.0 306 89 78 1
46 56 1 4.0 3 15.849 2 1.0 121 56 67 1
47 56 -1 4.0 2 10.0 1 1.0 203 45 38 0
48 56 -1 4.0 2 15.849 1 1.0 311 45 64 0
49 56 1 4.0 3 6.31 1 1.0 280 56 48 0
50 56 1 2.0 2 15.849 1 1.0 220 45 37 1
51 56 -1 4.0 5 10.0 2 1.0 220 89 51 1
52 56 -1 4.0 2 6.31 2 1.0 196 45 49 0
53 56 1 4.0 5 39.182 1 1.0 247 89 70 1
54 56 -1 4.0 5 3.981 1 1.0 112 89 63 1
55 56 1 2.0 3 25.119 2 1.0 79 56 50 1
56 56 -1 4.0 3 39.182 1 1.0 109 56 68 1
57 56 -1 2.0 3 39.182 1 1.0 215 56 61 1
58 56 -1 4.0 5 6.31 1 1.0 246 89 38 1
59 56 1 4.0 3 15.849 1 1.0 184 56 56 0
60 56 -1 4.0 1 15.849 2 1.0 355 35 88 0
61 56 1 2.0 2 10.0 2 1.0 259 45 51 0
62 56 1 2.0 5 6.31 2 1.0 321 89 77 0
63 56 1 4.0 2 39.182 1 1.0 13 45 57 1
64 56 -1 4.0 4 25.119 2 1.0 267 71 47 1
65 56 1 2.0 2 6.31 1 1.0 340 45 46 1
66 56 -1 2.0 3 3.981 2 1.0 75 56 44 0
67 56 -1 2.0 4 25.119 2 1.0 84 71 73 1
68 56 1 2.0 1 6.31 1 1.0 127 35 80 1
69 56 -1 2.0 1 3.981 2 1.0 211 35 78 0
70 56 1 4.0 5 39.182 2 1.0 40 89 76 1
71 56 -1 2.0 1 15.849 1 1.0 242 35 89 1
72 56 -1 4.0 1 6.31 2 1.0 340 35 55 1
73 56 -1 2.0 2 3.981 1 1.0 8 45 61 0
74 56 -1 4.0 5 6.31 2 1.0 322 89 71 1
75 56 1 4.0 3 3.981 1 1.0 236 56 37 0
76 56 1 4.0 3 39.182 1 1.0 336 56 87 1
77 56 1 2.0 4 25.119 2 1.0 11 71 47 1
78 56 -1 4.0 2 3.981 1 1.0 309 45 48 0
79 56 -1 2.0 2 10.0 1 1.0 122 45 51 1
80 56 1 4.0 1 39.182 2 1.0 69 35 35 1
