trial durationTest direction radius durationComparison speed number size iniAngle1 durComp onset response
1 112 1 4.0 5 10.0 2 1.0 221 148 58 1
2 112 -1 4.0 2 15.849 1 1.0 231 98 73 0
3 112 1 2.0 4 39.182 1 1.0 330 129 79 1
4 112 1 4.0 5 25.119 2 1.0 349 148 37 1
5 112 -1 4.0 1 6.31 2 1.0 306 85 41 0
6 112 -1 4.0 1 15.849 1 1.0 298 85 35 1
7 112 1 2.0 2 6.31 1 1.0 23 98 66 0
8 112 1 2.0 4 10.0 1 1.0 198 129 54 1
9 112 -1 4.0 4 3.981 1 1.0 109 129 72 1
10 112 -1 2.0 1 6.31 1 1.0 127 85 89 1
11 112 -1 4.0 3 25.119 1 1.0 76 112 43 1
12 112 1 4.0 5 6.31 2 1.0 121 148 30 1
13 112 1 4.0 1 3.981 2 1.0 127 85 38 0
14 112 -1 2.0 3 6.31 1 1.0 356 112 64 1
15 112 1 2.0 2 15.849 1 1.0 35 98 32 1
16 112 1 4.0 5 6.31 1 1.0 1 148 48 1
17 112 -1 2.0 5 6.31 2 1.0 250 148 90 1
18 112 1 4.0 3 3.981 1 1.0 125 112 85 0
19 112 1 2.0 1 6.31 2 1.0 205 85 70 0
20 112 -1 4.0 1 10.0 1 1.0 266 85 73 0
21 112 1 4.0 3 6.31 2 1.0 172 112 43 0
22 112 -1 4.0 3 25.119 2 1.0 207 112 78 1
23 112 1 4.0 1 15.849 1 1.0 49 85 63 0
24 112 -1 4.0 1 15.849 2 1.0 306 85 64 0
25 112 -1 4.0 5 6.31 2 1.0 11 148 75 1
26 112 -1 2.0 1 39.182 2 1.0 260 85 51 1
27 112 -1 2.0 5 3.981 2 1.0 14 148 61 1
28 112 -1 4.0 1 39.182 2 1.0 295 85 56 1
29 112 -1 4.0 4 15.849 2 1.0 124 129 87 1
30 112 -1 2.0 1 15.849 1 1.0 68 85 43 0
31 112 1 2.0 1 6.31 1 1.0 202 85 37 0
32 112 -1 2.0 4 39.182 1 1.0 268 129 31 1
33 112 1 2.0 2 6.31 2 1.0 12 98 58 0
34 112 1 4.0 4 15.849 1 1.0 121 129 75 1
35 112 -1 4.0 2 6.31 2 1.0 325 98 73 0
36 112 -1 2.0 4 3.981 2 1.0 336 129 57 0
37 112 1 2.0 3 6.31 2 1.0 42 112 53 1
38 112 -1 4.0 1 25.119 1 1.0 149 85 63 0
39 112 -1 4.0 5 39.182 1 1.0 327 148 79 1
40 112 1 4.0 3 3.981 2 1.0 263 112 32 0
41 112 1 2.0 5 15.849 1 1.0 174 148 40 1
42 112 1 2.0 2 25.119 1 1.0 15 98 82 0
43 112 1 4.0 4 6.31 2 1.0 13 129 59 0
44 112 1 4.0 2 15.849 2 1.0 180 98 30 0
45 112 1 2.0 4 3.981 2 1.0 137 129 61 1
46 112 1 4.0 3 39.182 2 1.0 339 112 52 1
47 112 -1 4.0 5 25.119 2 1.0 280 148 76 1
48 112 1 2.0 2 10.0 2 1.0 181 98 38 0
49 112 -1 4.0 4 25.119 1 1.0 151 129 43 1
