trial durationTest direction radius durationComparison speed number size iniAngle1 durComp onset speedMatchIni response
1 112 0 2.0 3 15.849 2 1.0 152 112 48 0.1 18.2045596353
2 112 0 2.0 3 10.0 2 1.0 170 112 53 0.1 13.2970607812
3 112 0 2.0 3 6.31 1 1.0 310 112 60 0.1 3.40484770421
4 112 0 4.0 3 15.849 2 1.0 266 112 83 60.0 15.1052691898
5 112 0 4.0 3 15.849 1 1.0 305 112 38 0.1 15.611404568
6 112 0 2.0 3 6.31 2 1.0 282 112 40 0.1 10.7089766553
7 112 0 4.0 3 39.182 2 1.0 38 112 46 0.1 35.7208220179
8 112 0 2.0 3 15.849 1 1.0 304 112 54 0.1 14.7913900636
9 112 0 4.0 3 10.0 2 1.0 358 112 32 0.1 14.5661669432
10 112 0 4.0 3 25.119 2 1.0 253 112 78 0.1 29.8585587395
11 112 0 4.0 3 3.981 1 1.0 318 112 37 0.1 6.06597172575
12 112 0 4.0 3 6.31 1 1.0 191 112 67 60.0 7.40547152422
13 112 0 2.0 3 3.981 2 1.0 14 112 83 0.1 4.4226707998
14 112 0 2.0 3 3.981 1 1.0 65 112 68 60.0 3.14620706001
15 112 0 4.0 3 25.119 1 1.0 51 112 71 60.0 26.2129928613
16 112 0 4.0 3 6.31 2 1.0 280 112 79 0.1 11.2403998249
17 112 0 2.0 3 39.182 1 1.0 161 112 51 0.1 38.8874738064
18 112 0 2.0 3 10.0 1 1.0 356 112 50 0.1 9.48461017421
19 112 0 2.0 3 25.119 1 1.0 275 112 46 0.1 21.8618494359
20 112 0 4.0 3 39.182 1 1.0 73 112 31 60.0 38.2789561402
21 112 0 2.0 3 39.182 2 1.0 73 112 85 60.0 45.0868486865
22 112 0 4.0 3 10.0 1 1.0 55 112 43 60.0 11.9359917423
23 112 0 2.0 3 25.119 2 1.0 122 112 82 60.0 24.4704529549
24 112 0 4.0 3 3.981 2 1.0 180 112 42 0.1 5.26798001708
25 112 0 4.0 3 10.0 1 1.0 83 112 65 0.1 9.66328139821
26 112 0 4.0 3 25.119 1 1.0 233 112 86 60.0 29.3534171136
27 112 0 4.0 3 15.849 2 1.0 105 112 31 0.1 23.2039250351
28 112 0 2.0 3 10.0 2 1.0 211 112 42 60.0 14.8649235104
29 112 0 2.0 3 39.182 2 1.0 63 112 41 60.0 39.5271318649
30 112 0 2.0 3 3.981 1 1.0 69 112 76 0.1 3.12216879654
31 112 0 4.0 3 6.31 1 1.0 4 112 78 60.0 7.90573136627
32 112 0 2.0 3 6.31 2 1.0 205 112 37 0.1 6.5492173774
33 112 0 2.0 3 25.119 2 1.0 177 112 55 60.0 28.3586584083
34 112 0 2.0 3 25.119 1 1.0 198 112 73 60.0 19.9449790797
35 112 0 4.0 3 6.31 2 1.0 172 112 53 60.0 12.3331329923
36 112 0 4.0 3 15.849 1 1.0 121 112 34 0.1 17.6058723534
37 112 0 4.0 3 3.981 2 1.0 182 112 81 0.1 4.94616075618
38 112 0 4.0 3 39.182 1 1.0 202 112 86 60.0 38.8118109315
39 112 0 2.0 3 3.981 2 1.0 339 112 45 0.1 4.25136694875
40 112 0 4.0 3 10.0 2 1.0 164 112 46 0.1 20.901157388
41 112 0 2.0 3 6.31 1 1.0 232 112 89 0.1 6.88673446862
42 112 0 2.0 3 10.0 1 1.0 155 112 50 60.0 7.33473386804
43 112 0 4.0 3 25.119 2 1.0 340 112 37 60.0 27.2036568919
44 112 0 2.0 3 15.849 2 1.0 165 112 33 60.0 19.2065433546
45 112 0 4.0 3 39.182 2 1.0 21 112 88 0.1 55.1832535666
46 112 0 4.0 3 3.981 1 1.0 216 112 45 60.0 8.60951202097
47 112 0 2.0 3 15.849 1 1.0 349 112 78 0.1 15.5677000223
48 112 0 2.0 3 39.182 1 1.0 34 112 66 0.1 32.775610848
