trial durationTest direction radius durationComparison speed number size iniAngle1 durComp onset response
1 56 -1 4.0 1 3.981 1 1.0 30 43 40 0
2 56 1 4.0 1 25.119 1 1.0 95 43 71 0
3 56 -1 2.0 4 39.182 2 1.0 316 65 80 1
4 56 -1 4.0 1 10.0 1 1.0 146 43 59 0
5 56 -1 4.0 5 15.849 2 1.0 335 74 49 1
6 56 -1 2.0 3 15.849 1 1.0 63 56 57 1
7 56 -1 2.0 3 10.0 2 1.0 207 56 72 1
8 56 1 2.0 1 6.31 2 1.0 289 43 82 1
9 56 1 2.0 3 15.849 2 1.0 242 56 58 1
10 56 1 4.0 4 25.119 2 1.0 335 65 80 1
11 56 -1 2.0 2 3.981 2 1.0 10 49 72 1
12 56 -1 2.0 1 15.849 2 1.0 330 43 82 1
13 56 1 4.0 4 6.31 1 1.0 220 65 63 1
14 56 1 2.0 4 39.182 1 1.0 165 65 37 0
15 56 1 2.0 2 25.119 2 1.0 19 49 52 0
16 56 1 4.0 2 10.0 2 1.0 285 49 83 0
17 56 -1 4.0 5 39.182 2 1.0 47 74 79 1
18 56 1 4.0 1 6.31 2 1.0 341 43 40 0
19 56 -1 2.0 4 3.981 2 1.0 318 65 45 0
20 56 1 4.0 1 3.981 2 1.0 250 43 82 0
21 56 1 2.0 3 3.981 2 1.0 322 56 37 0
22 56 1 2.0 4 3.981 2 1.0 185 65 49 1
23 56 -1 2.0 1 3.981 1 1.0 165 43 89 0
24 56 -1 4.0 3 6.31 1 1.0 33 56 66 1
25 56 -1 2.0 1 25.119 2 1.0 229 43 63 0
26 56 1 4.0 5 3.981 1 1.0 60 74 67 1
27 56 -1 4.0 2 3.981 1 1.0 67 49 76 1
28 56 -1 2.0 5 10.0 2 1.0 302 74 41 0
29 56 -1 2.0 2 6.31 2 1.0 290 49 90 1
30 56 -1 4.0 5 39.182 1 1.0 314 74 31 1
31 56 -1 4.0 3 25.119 2 1.0 294 56 60 0
32 56 -1 2.0 4 15.849 1 1.0 271 65 51 1
33 56 1 2.0 3 10.0 2 1.0 187 56 88 1
34 56 1 2.0 1 6.31 1 1.0 202 43 83 1
35 56 1 2.0 4 15.849 2 1.0 131 65 64 1
36 56 1 4.0 5 6.31 2 1.0 227 74 42 1
37 56 -1 2.0 2 6.31 1 1.0 71 49 51 0
38 56 -1 4.0 3 15.849 1 1.0 198 56 89 0
39 56 1 4.0 3 6.31 2 1.0 201 56 66 1
40 56 1 2.0 5 39.182 2 1.0 347 74 46 1
41 56 1 4.0 3 10.0 2 1.0 89 56 37 0
42 56 1 2.0 1 3.981 2 1.0 204 43 83 0
43 56 1 4.0 2 25.119 1 1.0 155 49 35 0
44 56 1 2.0 5 6.31 2 1.0 98 74 79 1
45 56 1 2.0 3 39.182 1 1.0 31 56 55 0
46 56 1 4.0 4 3.981 1 1.0 223 65 77 1
47 56 1 2.0 2 10.0 2 1.0 226 49 51 0
48 56 1 2.0 3 25.119 1 1.0 66 56 87 1
49 56 1 2.0 4 15.849 1 1.0 86 65 32 1
50 56 -1 2.0 4 6.31 2 1.0 208 65 58 0
51 56 1 4.0 5 25.119 1 1.0 235 74 70 1
52 56 -1 4.0 3 39.182 2 1.0 116 56 49 1
53 56 1 2.0 1 39.182 1 1.0 138 43 87 0
54 56 1 2.0 1 10.0 2 1.0 127 43 48 0
55 56 -1 2.0 1 10.0 2 1.0 299 43 78 0
56 56 1 4.0 2 25.119 2 1.0 194 49 71 0
57 56 1 4.0 1 39.182 2 1.0 59 43 47 0
58 56 -1 2.0 3 39.182 1 1.0 311 56 89 1
59 56 -1 2.0 4 39.182 1 1.0 41 65 89 1
60 56 -1 4.0 1 15.849 1 1.0 128 43 87 1
61 56 1 4.0 4 39.182 1 1.0 323 65 82 1
62 56 1 2.0 5 39.182 1 1.0 276 74 64 1
63 56 1 4.0 2 15.849 2 1.0 79 49 77 0
64 56 -1 4.0 1 10.0 2 1.0 223 43 79 0
65 56 1 4.0 2 3.981 1 1.0 20 49 43 0
66 56 -1 2.0 1 6.31 1 1.0 318 43 46 0
67 56 1 4.0 4 15.849 1 1.0 346 65 63 0
68 56 -1 2.0 4 10.0 1 1.0 260 65 75 1
69 56 1 4.0 4 39.182 2 1.0 185 65 67 1
70 56 -1 4.0 4 6.31 2 1.0 220 65 32 0
71 56 1 4.0 3 6.31 1 1.0 76 56 80 1
72 56 -1 2.0 5 15.849 2 1.0 158 74 50 1
73 56 1 4.0 2 3.981 2 1.0 260 49 69 0
74 56 1 4.0 5 10.0 1 1.0 190 74 49 1
75 56 -1 4.0 5 6.31 1 1.0 132 74 60 1
76 56 -1 2.0 2 10.0 2 1.0 122 49 61 1
77 56 1 4.0 3 25.119 2 1.0 181 56 38 0
78 56 -1 2.0 3 10.0 1 1.0 116 56 75 1
79 56 -1 2.0 3 25.119 1 1.0 205 56 54 1
80 56 -1 2.0 1 3.981 2 1.0 298 43 80 0
81 56 1 4.0 4 10.0 2 1.0 57 65 81 0
82 56 1 2.0 4 6.31 2 1.0 146 65 71 1
83 56 1 2.0 5 10.0 1 1.0 241 74 82 1
84 56 -1 2.0 5 3.981 1 1.0 256 74 39 0
85 56 -1 4.0 1 39.182 1 1.0 144 43 33 0
86 56 -1 4.0 1 6.31 2 1.0 37 43 54 0
87 56 -1 2.0 3 15.849 2 1.0 148 56 88 1
88 56 -1 4.0 5 3.981 1 1.0 245 74 38 1
89 56 1 2.0 1 15.849 2 1.0 161 43 61 1
90 56 1 4.0 3 39.182 2 1.0 137 56 68 1
91 56 -1 4.0 4 6.31 1 1.0 176 65 42 0
92 56 -1 4.0 2 3.981 2 1.0 46 49 75 0
93 56 1 4.0 1 3.981 1 1.0 263 43 71 0
94 56 -1 2.0 5 25.119 1 1.0 299 74 61 1
95 56 1 2.0 5 3.981 1 1.0 19 74 34 1
96 56 -1 2.0 4 25.119 1 1.0 293 65 51 1
97 56 -1 4.0 1 25.119 1 1.0 333 43 66 1
98 56 -1 2.0 3 25.119 2 1.0 182 56 86 0
99 56 1 4.0 5 39.182 1 1.0 287 74 80 1
100 56 -1 2.0 2 25.119 2 1.0 164 49 80 1
101 56 -1 2.0 3 6.31 1 1.0 201 56 47 0
102 56 -1 2.0 2 10.0 1 1.0 87 49 65 0
103 56 -1 4.0 5 10.0 1 1.0 154 74 54 1
104 56 1 2.0 5 6.31 1 1.0 323 74 75 1
105 56 -1 2.0 4 15.849 2 1.0 88 65 72 1
106 56 -1 4.0 2 6.31 2 1.0 58 49 59 0
107 56 1 4.0 3 39.182 1 1.0 197 56 35 1
108 56 -1 2.0 1 6.31 2 1.0 226 43 54 0
109 56 1 4.0 3 25.119 1 1.0 108 56 36 0
110 56 -1 2.0 2 39.182 2 1.0 305 49 32 0
111 56 -1 4.0 5 6.31 2 1.0 195 74 82 1
112 56 -1 4.0 3 10.0 2 1.0 27 56 41 0
113 56 -1 4.0 4 15.849 2 1.0 110 65 34 0
114 56 -1 2.0 5 6.31 2 1.0 351 74 62 1
