trial durationTest direction radius durationComparison speed number size iniAngle1 durComp onset speedMatchIni response
1 112 0 4.0 3 15.849 1 1.0 38 112 49 60.0 16.7830880256
2 112 0 2.0 3 6.31 2 1.0 75 112 65 60.0 9.06890185268
3 112 0 2.0 3 10.0 1 1.0 313 112 85 0.1 8.89498525798
4 112 0 4.0 3 10.0 1 1.0 4 112 86 60.0 11.370627072
5 112 0 2.0 3 15.849 1 1.0 165 112 35 0.1 12.2168771839
6 112 0 2.0 3 39.182 2 1.0 234 112 33 60.0 70.5024
7 112 0 2.0 3 6.31 1 1.0 3 112 40 60.0 9.03670303342
8 112 0 2.0 3 3.981 2 1.0 14 112 87 0.1 3.2396038949
9 112 0 4.0 3 15.849 2 1.0 65 112 79 0.1 11.7148268723
10 112 0 4.0 3 39.182 2 1.0 132 112 85 0.1 31.4099626994
11 112 0 2.0 3 25.119 2 1.0 351 112 78 60.0 34.56
12 112 0 2.0 3 10.0 2 1.0 181 112 56 0.1 9.17046118064
13 112 0 2.0 3 15.849 2 1.0 325 112 57 0.1 17.0240843091
14 112 0 4.0 3 6.31 1 1.0 166 112 87 0.1 3.98387504838
15 112 0 2.0 3 25.119 1 1.0 284 112 67 60.0 34.6266997912
16 112 0 4.0 3 39.182 1 1.0 128 112 49 60.0 40.8
17 112 0 2.0 3 39.182 1 1.0 133 112 41 0.1 45.8428894986
18 112 0 2.0 3 3.981 1 1.0 341 112 32 60.0 5.29070262854
19 112 0 4.0 3 3.981 1 1.0 346 112 41 0.1 1.95576234155
20 112 0 4.0 3 3.981 2 1.0 174 112 57 60.0 6.74900420755
21 112 0 4.0 3 25.119 1 1.0 112 112 84 60.0 23.553441792
22 112 0 4.0 3 10.0 2 1.0 190 112 37 60.0 15.3216
23 112 0 4.0 3 6.31 2 1.0 216 112 42 0.1 7.77205628907
24 112 0 4.0 3 25.119 2 1.0 94 112 37 60.0 23.04
25 112 0 2.0 3 39.182 2 1.0 247 112 54 60.0 98.208
26 112 0 4.0 3 3.981 1 1.0 44 112 59 0.1 3.17592079749
27 112 0 2.0 3 3.981 2 1.0 80 112 80 60.0 2.94783820073
28 112 0 2.0 3 25.119 1 1.0 70 112 34 0.1 30.3187443539
29 112 0 2.0 3 10.0 2 1.0 182 112 52 0.1 10.7324682858
30 112 0 4.0 3 15.849 1 1.0 315 112 73 60.0 22.0361972955
31 112 0 2.0 3 10.0 1 1.0 238 112 90 0.1 10.4611692782
32 112 0 2.0 3 6.31 2 1.0 357 112 53 60.0 8.23520208211
33 112 0 2.0 3 25.119 2 1.0 94 112 68 60.0 31.104
34 112 0 4.0 3 39.182 2 1.0 329 112 71 0.1 36.6120541551
35 112 0 4.0 3 25.119 2 1.0 214 112 74 60.0 21.9182373274
36 112 0 4.0 3 6.31 1 1.0 327 112 31 60.0 4.54740021893
37 112 0 2.0 3 15.849 2 1.0 278 112 52 0.1 17.8221649526
38 112 0 4.0 3 25.119 1 1.0 335 112 82 60.0 22.32576
39 112 0 2.0 3 3.981 1 1.0 304 112 66 60.0 3.66031530054
40 112 0 4.0 3 15.849 2 1.0 208 112 62 0.1 26.0633807427
41 112 0 4.0 3 10.0 1 1.0 198 112 65 60.0 10.5590112041
42 112 0 4.0 3 3.981 2 1.0 263 112 65 0.1 2.3519762897
43 112 0 2.0 3 6.31 1 1.0 338 112 33 60.0 6.28151268634
44 112 0 2.0 3 15.849 1 1.0 98 112 39 0.1 15.1067748846
45 112 0 2.0 3 39.182 1 1.0 265 112 44 0.1 43.9439033227
46 112 0 4.0 3 39.182 1 1.0 224 112 63 60.0 33.686986752
47 112 0 4.0 3 10.0 2 1.0 227 112 36 60.0 14.10048
48 112 0 4.0 3 6.31 2 1.0 4 112 53 60.0 7.38421899264
