trial durationTest direction radius durationComparison speed number size iniAngle1 durComp onset response
1 56 1 4.0 4 25.119 2 1.0 106 65 43 1
2 56 1 2.0 2 39.182 2 1.0 225 49 57 1
3 56 -1 2.0 1 15.849 2 1.0 3 43 41 1
4 56 -1 4.0 3 25.119 2 1.0 240 56 61 1
5 56 1 4.0 3 6.31 1 1.0 52 56 78 0
6 56 -1 4.0 3 10.0 2 1.0 47 56 36 0
7 56 -1 2.0 3 6.31 2 1.0 159 56 74 0
8 56 1 2.0 1 15.849 1 1.0 276 43 67 0
9 56 -1 4.0 2 10.0 2 1.0 57 49 63 0
10 56 1 4.0 1 10.0 1 1.0 290 43 84 0
11 56 -1 4.0 5 3.981 1 1.0 235 74 45 1
12 56 -1 2.0 5 15.849 2 1.0 306 74 74 1
13 56 -1 4.0 4 25.119 1 1.0 191 65 76 1
14 56 1 2.0 2 39.182 1 1.0 277 49 68 0
15 56 1 4.0 1 39.182 2 1.0 137 43 30 0
16 56 -1 2.0 5 6.31 1 1.0 146 74 44 1
17 56 1 2.0 1 39.182 1 1.0 235 43 56 1
18 56 -1 2.0 5 15.849 1 1.0 245 74 70 1
19 56 -1 2.0 2 25.119 2 1.0 166 49 85 1
20 56 -1 2.0 4 15.849 1 1.0 350 65 49 0
21 56 1 4.0 1 15.849 1 1.0 118 43 58 0
22 56 1 2.0 1 10.0 1 1.0 82 43 62 0
23 56 1 4.0 2 10.0 2 1.0 20 49 80 1
24 56 -1 2.0 2 39.182 2 1.0 123 49 79 1
25 56 1 4.0 4 25.119 1 1.0 65 65 51 1
26 56 1 4.0 3 39.182 1 1.0 144 56 72 1
27 56 -1 2.0 4 6.31 1 1.0 154 65 75 0
28 56 1 4.0 2 15.849 1 1.0 352 49 48 0
29 56 -1 2.0 5 25.119 1 1.0 149 74 71 1
30 56 -1 4.0 4 25.119 2 1.0 129 65 70 1
31 56 1 2.0 1 3.981 2 1.0 124 43 77 0
32 56 1 2.0 5 10.0 1 1.0 110 74 62 1
33 56 -1 4.0 4 39.182 1 1.0 138 65 74 1
34 56 1 4.0 5 39.182 1 1.0 183 74 61 1
35 56 1 4.0 5 25.119 2 1.0 80 74 53 1
36 56 -1 4.0 3 6.31 1 1.0 257 56 33 0
37 56 1 2.0 1 25.119 2 1.0 345 43 36 1
38 56 1 2.0 5 25.119 2 1.0 131 74 88 1
39 56 -1 4.0 3 25.119 1 1.0 188 56 67 1
40 56 -1 4.0 1 39.182 1 1.0 175 43 52 1
41 56 -1 2.0 4 10.0 2 1.0 96 65 49 1
42 56 1 4.0 3 25.119 2 1.0 38 56 44 1
43 56 -1 4.0 1 3.981 2 1.0 261 43 41 0
44 56 -1 4.0 2 25.119 2 1.0 87 49 71 0
45 56 1 2.0 1 15.849 2 1.0 96 43 73 1
46 56 1 2.0 4 15.849 2 1.0 202 65 36 1
47 56 1 4.0 3 15.849 1 1.0 2 56 83 0
48 56 1 4.0 3 3.981 2 1.0 79 56 33 0
49 56 -1 4.0 5 39.182 2 1.0 352 74 81 1
50 56 1 2.0 3 6.31 2 1.0 329 56 30 0
51 56 1 4.0 2 10.0 1 1.0 279 49 62 0
52 56 1 2.0 3 15.849 2 1.0 83 56 33 1
53 56 -1 2.0 3 15.849 1 1.0 141 56 81 1
54 56 1 2.0 4 10.0 2 1.0 49 65 67 1
55 56 1 4.0 2 25.119 1 1.0 187 49 43 0
56 56 -1 4.0 4 15.849 2 1.0 254 65 75 1
57 56 1 4.0 4 10.0 1 1.0 73 65 38 0
58 56 1 4.0 4 15.849 2 1.0 307 65 85 1
59 56 1 4.0 2 15.849 2 1.0 285 49 72 0
60 56 -1 2.0 2 3.981 2 1.0 139 49 54 1
61 56 1 2.0 5 3.981 1 1.0 255 74 47 1
62 56 1 4.0 5 25.119 1 1.0 204 74 82 1
63 56 1 4.0 2 25.119 2 1.0 83 49 88 0
64 56 -1 2.0 4 39.182 1 1.0 75 65 89 1
65 56 1 2.0 2 15.849 1 1.0 145 49 53 0
66 56 -1 4.0 1 6.31 1 1.0 184 43 36 0
67 56 1 2.0 4 6.31 2 1.0 171 65 54 1
68 56 -1 4.0 5 6.31 1 1.0 306 74 66 1
69 56 1 4.0 3 15.849 2 1.0 258 56 49 0
70 56 1 2.0 1 25.119 1 1.0 339 43 44 1
71 56 1 2.0 4 15.849 1 1.0 90 65 47 1
72 56 1 2.0 1 6.31 1 1.0 300 43 40 0
73 56 -1 4.0 5 25.119 1 1.0 308 74 48 1
74 56 -1 2.0 5 3.981 1 1.0 223 74 32 0
75 56 -1 2.0 1 6.31 2 1.0 288 43 66 0
76 56 -1 2.0 1 25.119 1 1.0 155 43 44 1
77 56 -1 2.0 5 10.0 2 1.0 234 74 59 1
78 56 1 4.0 5 10.0 2 1.0 258 74 31 1
79 56 1 4.0 4 3.981 1 1.0 271 65 59 0
80 56 1 2.0 4 10.0 1 1.0 168 65 35 1
81 56 1 2.0 2 3.981 2 1.0 29 49 35 0
82 56 1 4.0 1 25.119 1 1.0 93 43 57 0
83 56 1 4.0 4 3.981 2 1.0 344 65 44 0
84 56 1 2.0 2 10.0 1 1.0 69 49 81 0
85 56 1 4.0 5 6.31 2 1.0 270 74 86 0
86 56 1 4.0 1 3.981 2 1.0 56 43 39 0
87 56 -1 4.0 3 3.981 1 1.0 292 56 47 0
88 56 -1 2.0 1 39.182 2 1.0 292 43 78 1
89 56 1 4.0 4 10.0 2 1.0 101 65 71 1
90 56 1 4.0 3 6.31 2 1.0 29 56 62 1
91 56 -1 4.0 3 39.182 1 1.0 347 56 62 1
92 56 1 4.0 5 10.0 1 1.0 150 74 63 1
93 56 1 4.0 2 3.981 1 1.0 340 49 49 0
94 56 1 2.0 5 6.31 1 1.0 78 74 53 1
95 56 -1 4.0 1 25.119 1 1.0 243 43 35 0
96 56 -1 2.0 3 10.0 1 1.0 213 56 59 1
97 56 1 2.0 4 6.31 1 1.0 84 65 37 1
98 56 1 2.0 5 39.182 2 1.0 351 74 86 1
99 56 -1 4.0 2 15.849 2 1.0 294 49 43 0
100 56 1 4.0 1 25.119 2 1.0 139 43 71 1
101 56 1 4.0 5 6.31 1 1.0 41 74 72 1
102 56 -1 2.0 2 6.31 2 1.0 276 49 53 0
103 56 1 2.0 5 3.981 2 1.0 266 74 62 1
104 56 -1 4.0 5 10.0 1 1.0 0 74 81 1
105 56 -1 2.0 2 3.981 1 1.0 173 49 81 0
106 56 1 4.0 1 15.849 2 1.0 175 43 54 1
107 56 -1 4.0 5 25.119 2 1.0 144 74 52 1
108 56 1 2.0 2 25.119 1 1.0 114 49 87 1
109 56 1 4.0 3 3.981 1 1.0 250 56 46 0
110 56 -1 4.0 1 6.31 2 1.0 103 43 36 0
111 56 -1 4.0 1 10.0 2 1.0 301 43 38 1
112 56 -1 2.0 5 6.31 2 1.0 63 74 71 1
113 56 1 4.0 5 3.981 2 1.0 121 74 90 0
114 56 1 4.0 2 39.182 2 1.0 240 49 90 1
115 56 -1 2.0 2 6.31 1 1.0 56 49 84 0
116 56 -1 2.0 5 39.182 2 1.0 278 74 52 1
117 56 1 2.0 1 10.0 2 1.0 86 43 56 1
118 56 -1 2.0 4 25.119 1 1.0 226 65 53 1
119 56 -1 2.0 2 25.119 1 1.0 87 49 38 1
120 56 1 2.0 1 39.182 2 1.0 100 43 34 1
121 56 -1 4.0 5 10.0 2 1.0 191 74 66 1
122 56 1 2.0 3 25.119 1 1.0 223 56 87 0
123 56 -1 2.0 3 3.981 2 1.0 276 56 35 0
124 56 -1 2.0 1 3.981 2 1.0 117 43 89 0
125 56 -1 2.0 1 15.849 1 1.0 334 43 89 0
126 56 -1 4.0 2 39.182 1 1.0 13 49 75 1
127 56 -1 4.0 3 10.0 1 1.0 334 56 69 1
128 56 -1 2.0 2 10.0 1 1.0 131 49 81 0
129 56 1 2.0 1 3.981 1 1.0 192 43 60 0
130 56 -1 4.0 4 15.849 1 1.0 330 65 50 1
131 56 -1 2.0 4 6.31 2 1.0 85 65 81 1
132 56 -1 2.0 3 25.119 2 1.0 318 56 70 1
133 56 -1 2.0 4 39.182 2 1.0 204 65 46 1
134 56 -1 2.0 4 3.981 2 1.0 50 65 72 0
135 56 -1 4.0 1 39.182 2 1.0 35 43 35 0
136 56 1 2.0 4 3.981 1 1.0 28 65 48 0
137 56 1 2.0 3 10.0 2 1.0 115 56 59 1
138 56 -1 2.0 5 25.119 2 1.0 21 74 61 1
139 56 -1 2.0 4 3.981 1 1.0 254 65 88 0
140 56 1 2.0 3 3.981 2 1.0 15 56 80 0
141 56 1 2.0 3 6.31 1 1.0 21 56 60 0
142 56 1 2.0 2 6.31 1 1.0 221 49 46 0
143 56 -1 2.0 3 39.182 2 1.0 170 56 90 1
144 56 1 2.0 2 25.119 2 1.0 35 49 62 1
