trial durationTest direction radius durationComparison speed number size iniAngle1 durComp onset speedMatchIni response
1 112 0 2.0 3 10.0 2 1.0 18 112 35 60.0 14.6059704533
2 112 0 2.0 3 3.981 2 1.0 56 112 66 60.0 4.31614397388
3 112 0 2.0 3 3.981 1 1.0 194 112 66 0.1 4.91740517687
4 112 0 2.0 3 6.31 1 1.0 244 112 56 0.1 8.00697097852
5 112 0 2.0 3 25.119 1 1.0 73 112 37 0.1 39.2368157407
6 112 0 4.0 3 39.182 2 1.0 131 112 85 0.1 25.1490010161
7 112 0 4.0 3 15.849 2 1.0 137 112 82 0.1 12.067051458
8 112 0 4.0 3 3.981 1 1.0 128 112 76 0.1 4.14486480709
9 112 0 2.0 3 39.182 1 1.0 131 112 90 60.0 48.8374272
10 112 0 4.0 3 39.182 1 1.0 41 112 70 60.0 30.8916215317
11 112 0 4.0 3 6.31 1 1.0 251 112 47 60.0 6.38612002346
12 112 0 4.0 3 10.0 2 1.0 173 112 36 0.1 8.16238270047
13 112 0 2.0 3 39.182 2 1.0 93 112 44 60.0 50.6354264441
14 112 0 2.0 3 6.31 2 1.0 252 112 42 60.0 7.89591196319
15 112 0 4.0 3 10.0 1 1.0 196 112 79 60.0 8.54642786516
16 112 0 4.0 3 25.119 2 1.0 131 112 45 60.0 15.3317749964
17 112 0 4.0 3 25.119 1 1.0 212 112 43 0.1 15.2074715887
18 112 0 2.0 3 10.0 1 1.0 210 112 57 60.0 13.6122361121
19 112 0 2.0 3 15.849 1 1.0 95 112 61 0.1 20.8250167829
20 112 0 2.0 3 15.849 2 1.0 323 112 76 0.1 40.3455944969
21 112 0 4.0 3 6.31 2 1.0 14 112 67 0.1 6.00735942983
22 112 0 4.0 3 3.981 2 1.0 68 112 77 60.0 4.24377342678
23 112 0 2.0 3 25.119 2 1.0 168 112 38 60.0 43.0011621495
24 112 0 4.0 3 15.849 1 1.0 214 112 44 0.1 11.5466750571
25 112 0 2.0 3 25.119 2 1.0 145 112 60 0.1 51.3597510293
26 112 0 2.0 3 25.119 1 1.0 59 112 80 0.1 39.821484463
27 112 0 4.0 3 25.119 1 1.0 57 112 59 0.1 14.9826412142
28 112 0 4.0 3 10.0 1 1.0 27 112 79 0.1 8.78944458806
29 112 0 4.0 3 15.849 1 1.0 66 112 50 0.1 11.5886549511
30 112 0 2.0 3 6.31 1 1.0 319 112 85 0.1 9.60574098754
31 112 0 4.0 3 3.981 2 1.0 153 112 38 0.1 4.11187824409
32 112 0 4.0 3 6.31 2 1.0 190 112 44 60.0 4.17550550586
33 112 0 4.0 3 15.849 2 1.0 342 112 64 0.1 11.3553702783
34 112 0 4.0 3 3.981 1 1.0 113 112 46 0.1 2.14484065095
35 112 0 2.0 3 6.31 2 1.0 143 112 81 60.0 7.71984875923
36 112 0 2.0 3 10.0 2 1.0 12 112 43 60.0 11.5925049524
37 112 0 2.0 3 10.0 1 1.0 251 112 76 60.0 12.7782957078
38 112 0 4.0 3 39.182 2 1.0 212 112 82 0.1 24.2349255621
39 112 0 4.0 3 39.182 1 1.0 325 112 50 60.0 36.6350483791
40 112 0 2.0 3 39.182 1 1.0 107 112 34 60.0 44.648965212
41 112 0 2.0 3 3.981 1 1.0 102 112 42 60.0 4.89289588014
42 112 0 4.0 3 10.0 2 1.0 133 112 66 60.0 6.4472680843
43 112 0 2.0 3 3.981 2 1.0 63 112 79 0.1 4.51128397618
44 112 0 4.0 3 25.119 2 1.0 133 112 67 0.1 19.4049966549
45 112 0 2.0 3 39.182 2 1.0 180 112 42 0.1 51.5278394681
46 112 0 2.0 3 15.849 2 1.0 296 112 60 0.1 25.9618986786
47 112 0 2.0 3 15.849 1 1.0 198 112 60 0.1 22.5581431226
48 112 0 4.0 3 6.31 1 1.0 252 112 87 0.1 5.55739606178
