trial durationTest direction radius durationComparison speed number size iniAngle1 durComp onset response
1 56 1 4.0 2 3.981 1 1.0 331 49 79 0
2 56 1 4.0 3 25.119 1 1.0 185 56 54 1
3 56 -1 4.0 3 25.119 2 1.0 259 56 57 1
4 56 1 4.0 2 25.119 2 1.0 341 49 85 1
5 56 -1 2.0 1 10.0 2 1.0 162 43 66 0
6 56 -1 4.0 1 25.119 2 1.0 346 43 90 0
7 56 -1 2.0 2 3.981 1 1.0 75 49 36 0
8 56 -1 4.0 4 10.0 2 1.0 43 65 80 1
9 56 1 2.0 4 15.849 1 1.0 283 65 71 1
10 56 -1 4.0 1 3.981 2 1.0 97 43 58 0
11 56 -1 4.0 4 25.119 2 1.0 275 65 68 1
12 56 -1 4.0 4 3.981 2 1.0 282 65 56 1
13 56 -1 4.0 5 15.849 2 1.0 102 74 41 1
14 56 1 4.0 3 39.182 2 1.0 231 56 33 0
15 56 1 4.0 5 15.849 2 1.0 107 74 86 1
16 56 -1 4.0 2 25.119 2 1.0 307 49 57 0
17 56 1 2.0 5 25.119 1 1.0 195 74 36 1
18 56 -1 4.0 3 6.31 1 1.0 55 56 63 0
19 56 1 4.0 4 15.849 2 1.0 129 65 49 0
20 56 1 2.0 3 10.0 1 1.0 305 56 46 0
21 56 1 2.0 2 39.182 1 1.0 22 49 39 1
22 56 -1 4.0 3 6.31 2 1.0 351 56 61 0
23 56 -1 2.0 1 25.119 1 1.0 1 43 48 0
24 56 1 2.0 3 15.849 2 1.0 331 56 44 1
25 56 -1 2.0 3 15.849 1 1.0 261 56 53 1
26 56 1 2.0 2 3.981 2 1.0 277 49 53 0
27 56 -1 2.0 4 6.31 2 1.0 174 65 72 1
28 56 -1 4.0 4 15.849 2 1.0 48 65 66 1
29 56 1 2.0 5 39.182 1 1.0 318 74 79 1
30 56 -1 4.0 3 15.849 2 1.0 154 56 89 0
31 56 -1 4.0 1 10.0 1 1.0 262 43 83 0
32 56 -1 4.0 5 3.981 1 1.0 57 74 88 1
33 56 -1 4.0 3 39.182 2 1.0 122 56 34 0
34 56 -1 2.0 5 39.182 2 1.0 147 74 83 1
35 56 -1 2.0 3 15.849 2 1.0 101 56 50 0
36 56 1 2.0 1 39.182 2 1.0 194 43 31 0
37 56 -1 2.0 5 39.182 1 1.0 328 74 32 1
38 56 -1 2.0 2 10.0 2 1.0 240 49 71 0
39 56 -1 4.0 2 15.849 1 1.0 55 49 64 0
40 56 -1 2.0 3 25.119 2 1.0 279 56 67 0
41 56 1 2.0 1 10.0 2 1.0 319 43 83 0
42 56 -1 4.0 5 6.31 2 1.0 85 74 69 1
43 56 -1 4.0 5 15.849 1 1.0 68 74 66 1
44 56 1 4.0 4 6.31 2 1.0 101 65 82 0
45 56 1 4.0 2 39.182 1 1.0 173 49 81 0
46 56 1 2.0 2 25.119 1 1.0 278 49 66 0
47 56 -1 2.0 3 3.981 1 1.0 25 56 75 0
48 56 1 2.0 5 25.119 2 1.0 305 74 50 1
49 56 1 4.0 5 39.182 1 1.0 311 74 82 0
50 56 -1 4.0 5 39.182 2 1.0 250 74 61 1
51 56 1 2.0 4 39.182 1 1.0 343 65 55 0
52 56 1 2.0 1 6.31 1 1.0 93 43 40 0
53 56 -1 4.0 1 6.31 1 1.0 315 43 56 0
54 56 1 4.0 2 15.849 1 1.0 127 49 48 0
55 56 1 2.0 4 6.31 1 1.0 225 65 63 1
