trial durationTest direction radius durationComparison speed number size iniAngle1 durComp onset speedMatchIni response
1 112 0 2.0 3 3.981 1 1.0 95 112 51 0.1 4.8989445944
2 112 0 4.0 3 39.182 2 1.0 323 112 51 60.0 21.7599298504
3 112 0 4.0 3 6.31 2 1.0 67 112 35 60.0 6.66563970981
4 112 0 2.0 3 25.119 2 1.0 12 112 59 0.1 17.5475931497
5 112 0 2.0 3 15.849 1 1.0 94 112 77 0.1 17.0068902822
6 112 0 4.0 3 10.0 1 1.0 242 112 54 0.1 5.74938137678
7 112 0 2.0 3 10.0 1 1.0 9 112 61 60.0 10.2035325652
8 112 0 4.0 3 15.849 1 1.0 262 112 41 60.0 12.0983043975
9 112 0 4.0 3 3.981 1 1.0 201 112 68 0.1 2.46180998263
10 112 0 2.0 3 6.31 1 1.0 334 112 86 0.1 5.67591092279
11 112 0 4.0 3 15.849 2 1.0 330 112 40 60.0 9.86197546561
12 112 0 2.0 3 25.119 1 1.0 191 112 86 60.0 22.86157824
13 112 0 4.0 3 10.0 2 1.0 25 112 78 60.0 11.2542868621
14 112 0 2.0 3 6.31 2 1.0 85 112 46 0.1 5.69486767166
15 112 0 2.0 3 10.0 2 1.0 110 112 89 0.1 10.1678468597
16 112 0 2.0 3 15.849 2 1.0 189 112 82 60.0 15.48288
17 112 0 2.0 3 39.182 2 1.0 8 112 74 0.1 26.8816930965
18 112 0 4.0 3 3.981 2 1.0 77 112 59 0.1 2.86761016946
19 112 0 2.0 3 39.182 1 1.0 156 112 41 0.1 32.7203996356
20 112 0 2.0 3 3.981 2 1.0 53 112 39 0.1 3.45396217035
21 112 0 4.0 3 6.31 1 1.0 2 112 44 0.1 3.92279271234
22 112 0 4.0 3 39.182 1 1.0 333 112 40 60.0 27.09504
23 112 0 4.0 3 25.119 2 1.0 200 112 59 60.0 21.8571423904
24 112 0 4.0 3 25.119 1 1.0 134 112 79 0.1 18.1579607958
25 112 0 4.0 3 6.31 2 1.0 279 112 74 60.0 5.74707613762
26 112 0 4.0 3 6.31 1 1.0 267 112 65 0.1 4.51979821659
27 112 0 4.0 3 25.119 2 1.0 222 112 31 60.0 14.71485443
28 112 0 2.0 3 3.981 2 1.0 172 112 36 0.1 3.00288791343
29 112 0 4.0 3 3.981 1 1.0 315 112 30 60.0 3.35671211232
30 112 0 2.0 3 15.849 1 1.0 352 112 55 60.0 14.8345975911
31 112 0 2.0 3 39.182 1 1.0 20 112 53 0.1 30.3988670693
32 112 0 2.0 3 25.119 1 1.0 60 112 87 0.1 16.4720934041
33 112 0 4.0 3 10.0 1 1.0 161 112 49 0.1 6.95957425011
34 112 0 2.0 3 25.119 2 1.0 115 112 39 60.0 19.8429099688
35 112 0 2.0 3 10.0 2 1.0 263 112 81 0.1 7.63745162587
36 112 0 4.0 3 10.0 2 1.0 223 112 42 60.0 8.832
37 112 0 2.0 3 10.0 1 1.0 200 112 76 0.1 8.03190473926
38 112 0 2.0 3 15.849 2 1.0 70 112 76 0.1 13.6238806527
39 112 0 2.0 3 39.182 2 1.0 213 112 55 0.1 36.7669429404
40 112 0 4.0 3 39.182 1 1.0 38 112 52 0.1 26.6754594308
41 112 0 4.0 3 25.119 1 1.0 164 112 74 60.0 18.911232
42 112 0 2.0 3 3.981 1 1.0 262 112 34 0.1 2.76193461113
43 112 0 4.0 3 15.849 2 1.0 272 112 46 0.1 8.61696641111
44 112 0 4.0 3 15.849 1 1.0 48 112 68 60.0 9.3767860224
45 112 0 4.0 3 39.182 2 1.0 354 112 57 0.1 26.5103038824
46 112 0 4.0 3 3.981 2 1.0 70 112 70 0.1 4.11333586142
47 112 0 2.0 3 6.31 1 1.0 339 112 33 0.1 5.36493220422
48 112 0 2.0 3 6.31 2 1.0 129 112 30 60.0 5.85191226472
