trial durationTest direction radius durationComparison speed number size iniAngle1 durComp onset response
1 56 -1 2.0 4 25.119 1 1.0 27 71 84 1
2 56 -1 2.0 4 15.849 2 1.0 133 71 57 1
3 56 -1 4.0 1 39.182 2 1.0 115 35 35 0
4 56 -1 2.0 2 25.119 1 1.0 90 45 84 0
5 56 1 4.0 3 10.0 2 1.0 0 56 48 1
6 56 1 2.0 1 6.31 2 1.0 181 35 90 0
7 56 1 2.0 1 39.182 1 1.0 246 35 44 0
8 56 1 2.0 4 25.119 1 1.0 46 71 47 1
9 56 1 4.0 3 15.849 2 1.0 43 56 66 0
10 56 -1 4.0 5 6.31 2 1.0 54 89 43 1
11 56 -1 2.0 1 3.981 2 1.0 86 35 74 0
12 56 -1 4.0 1 6.31 1 1.0 124 35 49 0
13 56 1 2.0 5 25.119 1 1.0 252 89 49 1
14 56 -1 4.0 2 15.849 2 1.0 292 45 35 0
15 56 -1 2.0 4 3.981 1 1.0 95 71 80 0
16 56 1 4.0 5 3.981 2 1.0 140 89 45 1
17 56 -1 2.0 2 15.849 2 1.0 144 45 76 0
18 56 -1 2.0 3 6.31 1 1.0 161 56 89 1
19 56 1 4.0 2 10.0 1 1.0 165 45 33 1
20 56 1 2.0 5 10.0 1 1.0 205 89 38 1
21 56 1 2.0 2 10.0 2 1.0 117 45 53 0
22 56 -1 2.0 5 25.119 2 1.0 65 89 35 1
23 56 -1 2.0 2 39.182 1 1.0 186 45 32 0
24 56 1 4.0 2 39.182 2 1.0 257 45 42 1
25 56 -1 4.0 4 6.31 2 1.0 185 71 36 1
26 56 -1 4.0 4 39.182 2 1.0 134 71 81 1
27 56 1 2.0 4 10.0 2 1.0 202 71 79 1
28 56 1 2.0 4 39.182 1 1.0 278 71 32 1
29 56 1 2.0 5 3.981 2 1.0 59 89 40 1
30 56 1 4.0 4 10.0 2 1.0 240 71 39 1
31 56 1 2.0 2 15.849 1 1.0 193 45 47 0
32 56 1 2.0 4 3.981 1 1.0 183 71 85 1
33 56 1 2.0 4 6.31 1 1.0 198 71 84 1
34 56 1 4.0 4 10.0 1 1.0 275 71 36 1
35 56 -1 4.0 4 39.182 1 1.0 11 71 42 1
36 56 -1 2.0 1 25.119 1 1.0 179 35 79 0
37 56 1 4.0 4 3.981 1 1.0 334 71 48 0
38 56 -1 2.0 3 39.182 2 1.0 260 56 77 1
39 56 1 4.0 3 3.981 1 1.0 221 56 70 0
40 56 1 4.0 3 15.849 1 1.0 50 56 87 1
41 56 1 4.0 1 10.0 2 1.0 161 35 61 0
42 56 1 4.0 3 6.31 2 1.0 117 56 58 0
43 56 1 4.0 5 15.849 2 1.0 4 89 31 1
44 56 -1 4.0 4 10.0 2 1.0 272 71 69 0
45 56 -1 4.0 2 15.849 1 1.0 67 45 90 0
46 56 1 2.0 4 3.981 2 1.0 231 71 67 1
47 56 1 2.0 3 15.849 1 1.0 223 56 65 0
48 56 1 4.0 3 10.0 1 1.0 242 56 89 0
49 56 -1 4.0 2 3.981 1 1.0 319 45 30 0
50 56 -1 4.0 4 10.0 1 1.0 347 71 83 1
51 56 -1 2.0 2 3.981 2 1.0 3 45 74 0
52 56 -1 4.0 3 15.849 1 1.0 93 56 84 0
53 56 1 2.0 3 25.119 1 1.0 272 56 60 0
54 56 -1 2.0 5 10.0 1 1.0 242 89 49 1
55 56 1 2.0 5 10.0 2 1.0 286 89 45 1
56 56 1 2.0 5 6.31 1 1.0 305 89 58 1
57 56 -1 4.0 4 15.849 2 1.0 189 71 75 1
58 56 -1 2.0 4 6.31 2 1.0 227 71 31 0
59 56 1 2.0 2 10.0 1 1.0 262 45 52 0
60 56 1 2.0 3 10.0 2 1.0 136 56 63 0
61 56 1 2.0 5 39.182 2 1.0 98 89 65 0
62 56 1 2.0 1 3.981 1 1.0 140 35 75 0
63 56 -1 2.0 5 6.31 2 1.0 91 89 42 1
64 56 1 4.0 5 6.31 2 1.0 281 89 35 1
65 56 -1 2.0 1 6.31 2 1.0 72 35 56 0
66 56 -1 2.0 1 15.849 2 1.0 218 35 65 0
67 56 1 2.0 3 6.31 1 1.0 27 56 84 1
68 56 -1 4.0 5 6.31 1 1.0 13 89 53 1
69 56 1 4.0 5 6.31 1 1.0 122 89 69 1
70 56 1 4.0 2 10.0 2 1.0 308 45 31 0
71 56 -1 2.0 5 25.119 1 1.0 14 89 43 1
72 56 1 2.0 1 39.182 2 1.0 290 35 32 0
73 56 1 2.0 1 15.849 2 1.0 287 35 44 0
74 56 -1 4.0 1 39.182 1 1.0 168 35 58 0
75 56 -1 2.0 3 25.119 1 1.0 34 56 78 1
76 56 -1 2.0 5 3.981 1 1.0 292 89 53 0
77 56 1 4.0 2 6.31 2 1.0 216 45 38 0
78 56 1 2.0 1 25.119 2 1.0 244 35 73 0
79 56 1 4.0 1 15.849 2 1.0 343 35 35 0
80 56 -1 2.0 1 10.0 1 1.0 73 35 59 0
81 56 1 2.0 1 15.849 1 1.0 116 35 48 0
82 56 -1 4.0 4 3.981 2 1.0 260 71 86 1
83 56 -1 2.0 1 39.182 2 1.0 195 35 89 0
84 56 -1 2.0 1 3.981 1 1.0 311 35 79 0
85 56 -1 4.0 5 25.119 2 1.0 82 89 39 1
86 56 1 4.0 1 25.119 1 1.0 355 35 79 0
87 56 1 2.0 2 6.31 1 1.0 269 45 87 0
88 56 1 4.0 4 25.119 2 1.0 357 71 68 1
89 56 -1 4.0 4 25.119 1 1.0 274 71 53 1
90 56 -1 2.0 3 15.849 2 1.0 57 56 90 0
91 56 1 4.0 1 39.182 2 1.0 93 35 62 0
92 56 -1 4.0 5 3.981 1 1.0 104 89 54 1
93 56 1 2.0 4 15.849 1 1.0 64 71 48 1
94 56 1 4.0 4 25.119 1 1.0 80 71 57 0
95 56 -1 4.0 2 6.31 2 1.0 275 45 67 0
96 56 -1 4.0 3 25.119 1 1.0 140 56 32 1
97 56 1 2.0 4 39.182 2 1.0 245 71 55 1
98 56 1 2.0 3 15.849 2 1.0 130 56 61 0
99 56 -1 4.0 3 25.119 2 1.0 73 56 83 0
100 56 -1 2.0 4 10.0 1 1.0 196 71 74 1
101 56 1 2.0 2 3.981 2 1.0 241 45 66 0
102 56 -1 2.0 1 25.119 2 1.0 174 35 90 0
103 56 1 2.0 1 3.981 2 1.0 103 35 51 0
104 56 -1 2.0 4 39.182 2 1.0 357 71 49 0
105 56 -1 2.0 5 3.981 2 1.0 357 89 42 1
106 56 -1 4.0 2 25.119 2 1.0 354 45 38 0
107 56 -1 4.0 3 3.981 1 1.0 71 56 76 0
108 56 1 4.0 2 39.182 1 1.0 16 45 40 0
109 56 -1 2.0 5 39.182 1 1.0 165 89 65 1
110 56 -1 2.0 5 15.849 2 1.0 68 89 53 1
111 56 -1 4.0 1 3.981 2 1.0 87 35 67 0
112 56 -1 2.0 5 39.182 2 1.0 153 89 84 1
113 56 1 4.0 3 39.182 1 1.0 28 56 63 1
114 56 1 4.0 4 15.849 2 1.0 28 71 51 1
115 56 -1 2.0 1 6.31 1 1.0 198 35 85 0
116 56 -1 4.0 5 3.981 2 1.0 70 89 36 0
117 56 -1 4.0 1 15.849 1 1.0 251 35 47 0
118 56 -1 4.0 5 15.849 1 1.0 250 89 65 1
119 56 -1 2.0 2 3.981 1 1.0 275 45 43 0
120 56 1 4.0 1 25.119 2 1.0 46 35 66 0
