trial durationTest direction radius durationComparison speed number size iniAngle1 durComp onset speedMatchIni response
1 112 0 4.0 3 3.981 2 1.0 198 112 41 0.1 3.29200405637
2 112 0 2.0 3 15.849 1 1.0 241 112 56 60.0 22.2960492485
3 112 0 2.0 3 6.31 1 1.0 300 112 32 60.0 11.6887375658
4 112 0 2.0 3 6.31 2 1.0 50 112 48 60.0 9.48394253329
5 112 0 2.0 3 10.0 1 1.0 204 112 60 60.0 16.5311384291
6 112 0 2.0 3 3.981 2 1.0 160 112 88 0.1 7.7527652983
7 112 0 2.0 3 3.981 1 1.0 356 112 58 60.0 7.07338957425
8 112 0 2.0 3 39.182 2 1.0 344 112 44 60.0 92.2194557895
9 112 0 2.0 3 25.119 1 1.0 350 112 83 60.0 38.0893697703
10 112 0 2.0 3 15.849 2 1.0 195 112 55 60.0 26.5201460328
11 112 0 4.0 3 39.182 2 1.0 243 112 41 0.1 37.2784648161
12 112 0 2.0 3 39.182 1 1.0 232 112 56 0.1 69.5188818623
13 112 0 4.0 3 10.0 2 1.0 286 112 83 0.1 6.60464679477
14 112 0 4.0 3 25.119 2 1.0 174 112 37 60.0 17.3922303827
15 112 0 4.0 3 3.981 1 1.0 105 112 75 0.1 3.50848385669
16 112 0 4.0 3 6.31 1 1.0 236 112 90 0.1 4.83844304948
17 112 0 2.0 3 10.0 2 1.0 352 112 62 0.1 14.1460443633
18 112 0 4.0 3 15.849 1 1.0 151 112 65 0.1 11.4955842045
19 112 0 4.0 3 6.31 2 1.0 336 112 56 0.1 4.8093502799
20 112 0 2.0 3 25.119 2 1.0 220 112 74 60.0 52.1279326171
21 112 0 4.0 3 39.182 1 1.0 323 112 79 0.1 27.3836892863
22 112 0 4.0 3 25.119 1 1.0 195 112 56 60.0 18.6749000437
23 112 0 4.0 3 15.849 2 1.0 79 112 47 60.0 10.5436122391
24 112 0 4.0 3 10.0 1 1.0 325 112 55 0.1 8.55865803484
25 112 0 2.0 3 39.182 1 1.0 40 112 32 0.1 68.3739199746
26 112 0 4.0 3 25.119 1 1.0 178 112 66 60.0 17.3657285297
27 112 0 2.0 3 3.981 1 1.0 93 112 50 0.1 6.49212388406
28 112 0 2.0 3 10.0 2 1.0 357 112 50 0.1 13.7385839084
29 112 0 2.0 3 6.31 2 1.0 267 112 90 60.0 9.79525477436
30 112 0 4.0 3 6.31 1 1.0 253 112 34 60.0 5.57211248861
31 112 0 2.0 3 15.849 1 1.0 36 112 67 60.0 24.5467279439
32 112 0 4.0 3 10.0 1 1.0 11 112 76 0.1 7.3734651264
33 112 0 2.0 3 3.981 2 1.0 54 112 88 60.0 5.41638408003
34 112 0 4.0 3 3.981 1 1.0 174 112 65 60.0 3.22891293666
35 112 0 2.0 3 39.182 2 1.0 139 112 55 0.1 83.0224075879
36 112 0 2.0 3 10.0 1 1.0 76 112 85 60.0 15.3168604665
37 112 0 2.0 3 15.849 2 1.0 5 112 89 0.1 23.8438429384
38 112 0 4.0 3 15.849 1 1.0 284 112 50 0.1 11.5877985088
39 112 0 2.0 3 25.119 2 1.0 211 112 84 60.0 51.3381154563
40 112 0 2.0 3 25.119 1 1.0 281 112 45 0.1 34.8797957489
41 112 0 4.0 3 3.981 2 1.0 72 112 43 0.1 3.08765370276
42 112 0 4.0 3 10.0 2 1.0 306 112 89 60.0 7.04033936907
43 112 0 4.0 3 25.119 2 1.0 358 112 71 0.1 18.4397549336
44 112 0 4.0 3 15.849 2 1.0 155 112 62 60.0 11.6408139545
45 112 0 4.0 3 6.31 2 1.0 39 112 77 0.1 3.75278906675
46 112 0 4.0 3 39.182 2 1.0 290 112 83 0.1 26.2028055945
47 112 0 4.0 3 39.182 1 1.0 236 112 56 0.1 32.5546519423
48 112 0 2.0 3 6.31 1 1.0 264 112 47 60.0 10.5052001408
