"subject" "radius" "number" "durationTest" "sample" "speed" "psesample"
"1" "AB" 2 1 56 1 3.981 0.923916888575933
"2" "AB" 2 1 56 1 6.31 0.972706864738659
"3" "AB" 2 1 56 1 10 1.06267925106771
"4" "AB" 2 1 56 1 15.849 1.09973091202434
"5" "AB" 2 1 56 1 25.119 1.13131794959983
"6" "AB" 2 1 56 1 39.182 1.22773556171734
"7" "AB" 2 1 56 1 5.01199660813932 0.945515128135817
"8" "AB" 2 1 56 1 7.94415940652074 1.0125521822039
"9" "AB" 2 1 56 1 12.5897930372753 1.07908481331168
"10" "AB" 2 1 56 1 19.9535629847777 1.11371699457355
"11" "AB" 2 1 56 1 31.6243011303319 1.17591907319308
"12" "AB" 2 1 56 2 3.981 0.923565931917178
"13" "AB" 2 1 56 2 6.31 0.978856842345064
"14" "AB" 2 1 56 2 10 1.03881728158882
"15" "AB" 2 1 56 2 15.849 1.10496482775739
"16" "AB" 2 1 56 2 25.119 1.12093092786977
"17" "AB" 2 1 56 2 39.182 1.18896577481831
"18" "AB" 2 1 56 2 5.01199660813932 0.948041990788833
"19" "AB" 2 1 56 2 7.94415940652074 1.00541102007116
"20" "AB" 2 1 56 2 12.5897930372753 1.06810578466631
"21" "AB" 2 1 56 2 19.9535629847777 1.11203428444914
"22" "AB" 2 1 56 2 31.6243011303319 1.15240267406591
"23" "AB" 2 1 56 3 3.981 0.93129786494754
"24" "AB" 2 1 56 3 6.31 1.01548459056523
"25" "AB" 2 1 56 3 10 1.08709040946927
"26" "AB" 2 1 56 3 15.849 1.10949181773379
"27" "AB" 2 1 56 3 25.119 1.15796707206936
"28" "AB" 2 1 56 3 39.182 1.21326740159189
"29" "AB" 2 1 56 3 5.01199660813932 0.968565459864755
"30" "AB" 2 1 56 3 7.94415940652074 1.04719606008384
"31" "AB" 2 1 56 3 12.5897930372753 1.09700920091202
"32" "AB" 2 1 56 3 19.9535629847777 1.1309556510265
"33" "AB" 2 1 56 3 31.6243011303319 1.18354805024974
"34" "AB" 2 1 56 4 3.981 0.911881241836889
"35" "AB" 2 1 56 4 6.31 0.989822260958588
"36" "AB" 2 1 56 4 10 1.06147181386247
"37" "AB" 2 1 56 4 15.849 1.11878611695858
"38" "AB" 2 1 56 4 25.119 1.14691549603539
"39" "AB" 2 1 56 4 39.182 1.1855311162109
"40" "AB" 2 1 56 4 5.01199660813932 0.946384001110995
"41" "AB" 2 1 56 4 7.94415940652074 1.02155309858755
"42" "AB" 2 1 56 4 12.5897930372753 1.08684917462407
"43" "AB" 2 1 56 4 19.9535629847777 1.13124122031818
"44" "AB" 2 1 56 4 31.6243011303319 1.16477841558145
"45" "AB" 2 1 56 5 3.981 0.951557275582165
"46" "AB" 2 1 56 5 6.31 1.00768930582391
"47" "AB" 2 1 56 5 10 1.10513923339158
"48" "AB" 2 1 56 5 15.849 1.09806137282705
"49" "AB" 2 1 56 5 25.119 1.15360145509957
"50" "AB" 2 1 56 5 39.182 1.18650944589038
"51" "AB" 2 1 56 5 5.01199660813932 0.976405679526868
"52" "AB" 2 1 56 5 7.94415940652074 1.0508461393739
"53" "AB" 2 1 56 5 12.5897930372753 1.10200533118457
"54" "AB" 2 1 56 5 19.9535629847777 1.12265336482999
"55" "AB" 2 1 56 5 31.6243011303319 1.16882412378253
"56" "AB" 2 1 56 6 3.981 0.956916103743174
"57" "AB" 2 1 56 6 6.31 0.99222838068339
"58" "AB" 2 1 56 6 10 1.08144943363297
"59" "AB" 2 1 56 6 15.849 1.11793726461328
"60" "AB" 2 1 56 6 25.119 1.15014684518055
"61" "AB" 2 1 56 6 39.182 1.21496550098493
"62" "AB" 2 1 56 6 5.01199660813932 0.972548064993083
"63" "AB" 2 1 56 6 7.94415940652074 1.03174096142519
"64" "AB" 2 1 56 6 12.5897930372753 1.09760534586037
"65" "AB" 2 1 56 6 19.9535629847777 1.13219899623697
"66" "AB" 2 1 56 6 31.6243011303319 1.18013083685166
"67" "AB" 2 1 56 7 3.981 0.911077620006349
"68" "AB" 2 1 56 7 6.31 0.979099097202476
"69" "AB" 2 1 56 7 10 1.05582225778534
"70" "AB" 2 1 56 7 15.849 1.10463943883255
