"subject" "speed" "number" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" "AB" 5.01199660813932 1 112 -0.16247468254928 -0.025926647812771 1
"2" "AB" 5.01199660813932 2 56 -0.105704187551131 -0.0049049109179476 1
"3" "AB" 5.01199660813932 2 112 -0.128060644805592 -0.0239298058014482 1
"4" "AB" 6.31 1 112 -0.212496221871621 -0.0211503466373164 1
"5" "AB" 6.31 2 112 -0.16559551981858 -0.0176059505306889 1
"6" "AB" 7.94415940652074 1 56 -0.0990672340352669 -0.000986396660173557 1
"7" "AB" 7.94415940652074 1 112 -0.226053584868942 -0.0998528764132827 1
"8" "AB" 7.94415940652074 2 56 -0.0982828701595529 -0.00535050293390595 1
"9" "AB" 7.94415940652074 2 112 -0.128299362533263 -0.0325102765486333 1
"10" "AB" 10 1 56 -0.167008023904554 -0.0223346291740127 1
"11" "AB" 10 1 112 -0.300780712304367 -0.136204427656154 1
"12" "AB" 10 2 112 -0.132818247055586 -0.00788737289891002 1
"13" "AB" 12.5897930372753 1 56 -0.146805086401225 -0.0490016686305023 1
"14" "AB" 12.5897930372753 1 112 -0.234156960763925 -0.127833850254242 1
"15" "AB" 12.5897930372753 2 56 -0.134342861011665 -0.0444519662958076 1
"16" "AB" 12.5897930372753 2 112 -0.121787497972075 -0.0271803172268976 1
"17" "AB" 15.849 1 56 -0.172003791608132 -0.0334801666321628 1
"18" "AB" 15.849 1 112 -0.198835765660642 -0.0660039945927452 1
"19" "AB" 15.849 2 56 -0.182199005276677 -0.053380595691412 1
"20" "AB" 15.849 2 112 -0.158586902983252 -0.0128057792943754 1
"21" "AB" 19.9535629847777 1 56 -0.140274199900102 -0.0464214536119144 1
"22" "AB" 19.9535629847777 1 112 -0.181850146433002 -0.0781462527619878 1
"23" "AB" 19.9535629847777 2 56 -0.183109869892994 -0.0749160998320304 1
"24" "AB" 19.9535629847777 2 112 -0.113811319363732 -0.00610390002067699 1
"25" "AB" 25.119 1 56 -0.154407707364534 -0.022517065777612 1
"26" "AB" 25.119 1 112 -0.207523000955951 -0.0489163113891521 1
"27" "AB" 25.119 2 56 -0.239258372843382 -0.0668014316674101 1
"28" "AB" 31.6243011303319 1 56 -0.140698881829775 -0.0480892337565992 1
"29" "AB" 31.6243011303319 2 56 -0.170610883114618 -0.0412756071210254 1
"30" "AB" 39.182 1 56 -0.174759036601263 -0.0441338182747623 1
"31" "AD" 3.981 1 112 0.0483350666719268 0.499932887343351 1
"32" "AD" 5.01199660813932 1 56 0.0122586643572734 0.13530584300547 1
"33" "AD" 5.01199660813932 1 112 0.0949474511056575 0.373006188735966 1
"34" "AD" 5.01199660813932 2 112 0.00827633141015648 0.136838297793598 1
"35" "AD" 6.31 1 56 0.00663279870487687 0.185083642297091 1
"36" "AD" 6.31 1 112 0.0725060447827944 0.374007234053451 1
"37" "AD" 7.94415940652074 1 56 0.0122403799765472 0.138399155821223 1
"38" "AD" 7.94415940652074 1 112 0.000608290781445678 0.194379606341574 1
"39" "AD" 12.5897930372753 1 112 -0.177547772293772 -0.0188461654029065 1
"40" "AD" 12.5897930372753 2 112 -0.11861414222536 -0.00722853151638371 1
"41" "AD" 15.849 1 112 -0.2470448384705 -0.0525860285177941 1
"42" "AD" 15.849 2 112 -0.191056088104634 -0.0455077634544046 1
"43" "AD" 19.9535629847777 1 112 -0.21512592621785 -0.082205084548632 1
"44" "AD" 19.9535629847777 2 56 -0.10155403256832 -0.0022478158800262 1
"45" "AD" 19.9535629847777 2 112 -0.162283537921031 -0.0600210114858536 1
"46" "AD" 25.119 1 56 -0.155727666748505 -0.0183901652394594 1
"47" "AD" 25.119 1 112 -0.239611663512797 -0.0741898840367781 1
"48" "AD" 25.119 2 56 -0.138378816686571 -0.00298528828485047 1
"49" "AD" 25.119 2 112 -0.161970651095895 -0.0372671481616674 1
