"subject" "freq" "number" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" "AB" 1.26122334653172 2 56 -0.167213316162318 -0.00521392655766328 1
"2" "FE" 0.316797914224418 1 56 0.0567151035755273 0.588064032866481 1
"3" "FE" 0.397887357729738 1 56 0.0484793966153948 0.393710884690424 1
"4" "FE" 0.397887357729738 2 56 0.038033231299927 0.272227038791303 1
"5" "FE" 0.50213384545493 2 56 0.0134426226137573 0.229275274923877 1
"6" "FE" 0.50213384545493 2 112 0.00645488491074935 0.195286438937228 1
"7" "FE" 0.630611673265862 2 112 0.0221538643184355 0.192689983792847 1
"8" "MC" 0.316797914224418 1 56 0.0031949824350222 0.323655464516802 1
"9" "MC" 0.397887357729738 1 56 0.0398582238284998 0.317566677285797 1
"10" "MC" 0.50213384545493 1 56 0.0482502999291189 0.339831975466144 1
"11" "MC" 0.630611673265862 1 56 0.0354230080122611 0.271996241922175 1
"12" "MC" 0.630611673265862 2 56 0.00305088857923453 0.163620084342523 1
"13" "SY" 0.316797914224418 2 56 0.0724429371634927 0.360776527667832 1
"14" "SY" 0.316797914224418 2 112 0.0175545920964893 0.290410013224727 1
"15" "SY" 0.397887357729738 1 56 0.0355128585854766 0.354100139065425 1
"16" "SY" 0.397887357729738 2 56 0.0964599596041447 0.379124116523041 1
"17" "SY" 0.50213384545493 2 56 0.064383463477899 0.391762759304374 1
"18" "SY" 0.630611673265862 2 56 0.0133591543332677 0.282293256685759 1
