"subject" "speedMatch" "number" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" "AB" 7.36779560647782 1 112 -0.20954955030605 -0.00212670940450904 1
"2" "AB" 9.28422893381118 1 112 -0.249282899694797 -0.0477238225130438 1
"3" "AB" 25.1740189959826 2 56 -0.169669560236221 -0.00998158747154521 1
"4" "AD" 6.35047956679012 1 112 0.0190837132540178 0.7171997921438 1
"5" "AD" 6.54211143092642 1 56 0.00825908106809557 0.249865595528159 1
"6" "AD" 18.5854147142509 1 112 -0.183317916619734 -0.00298455466292962 1
"7" "AD" 21.7042552225016 1 112 -0.191626246276981 -0.0123683889766709 1
"8" "AD" 25.1957377491615 1 112 -0.213741600301204 -0.0205099338389643 1
"9" "AD" 26.5522810575907 2 112 -0.152867286179546 -0.0140353793013438 1
"10" "AD" 40.2655481919691 2 112 -0.177728482146515 -0.00313410054495582 1
"11" "FE" 5.71588417707134 1 56 -1.00091643147552 -0.0214599901278574 1
"12" "FE" 6.03873573726337 1 56 -0.875545267682492 -0.00798767214465114 1
"13" "FE" 6.03873573726337 1 112 -0.36853680497784 -0.0472996172070611 1
"14" "FE" 8.00086154871768 1 112 -1.15459005585219 -0.123203363433697 1
"15" "FE" 9.40131879360728 1 112 -0.775738164001995 -0.0652488651087248 1
"16" "FE" 10.9924287796544 2 112 -0.376740336669662 -0.0637667094512197 1
"17" "FE" 12.5414616127008 2 112 -0.309574728767504 -0.092923964787267 1
"18" "FE" 14.3139130931924 2 112 -0.233844451667102 -0.0680336469376561 1
"19" "FE" 19.2648247892324 2 56 -0.319113107357984 -0.0117557299024819 1
"20" "FE" 19.821424767496 2 56 -0.334218923991666 -0.0142328567502936 1
"21" "FE" 24.1500926640672 1 112 -0.210026321656655 -0.00806257086887512 1
"22" "FE" 28.1814860658623 2 112 -0.256011642695448 -0.00551515149329262 1
"23" "FE" 29.0197851515178 2 112 -0.251106537895036 -0.00412761486694501 1
"24" "MA" 10.6554014174253 2 112 -0.213671598363132 -0.0136411765231427 1
"25" "MA" 12.0594885349691 2 112 -0.18783624603907 -0.0198881642892114 1
"26" "MA" 27.2285284872824 1 56 -0.320547694765499 -0.0227527841790659 1
"27" "MC" 8.14991363647719 1 56 0.00699758026193354 0.299984960715994 1
"28" "MC" 10.4833093453556 2 56 0.0137244066919261 0.176070090340473 1
"29" "MP" 8.33355939409299 2 112 -0.150522477779917 -0.00683361886474478 1
"30" "MP" 8.66663620185264 2 112 -0.149980267858343 -0.0111897295131829 1
"31" "MP" 20.5618707512775 1 56 -0.161555146268455 -0.010765207739033 1
"32" "MP" 20.5618707512775 1 112 -0.187781658494597 -0.0183091681437273 1
"33" "MP" 27.1266998401599 1 56 -0.162109040230368 -0.00176534546024075 1
"34" "SY" 6.80165966858421 2 56 0.0984230194498366 0.408529557674839 1
"35" "SY" 6.80165966858421 2 112 0.00428531003239639 0.291903801540159 1
"36" "SY" 6.92415045014067 2 56 0.098040606609468 0.411921579132263 1
"37" "SY" 7.59341050332033 1 56 0.0906132479158836 0.52811238690815 1
"38" "SY" 10.4556315515946 2 56 0.0712467135838225 0.406196732029008 1
"39" "SY" 10.7896091999187 2 56 0.0594419452135355 0.418361885379422 1
