"subject" "tf" "number" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" "AB" 2.52244669306345 2 56 -0.167213316162318 -0.00521392655766217 1
"2" "FE" 0.316797914224418 1 56 0.0567151035755273 0.588064032866481 1
"3" "FE" 0.397887357729738 1 56 0.0484793966153948 0.393710884690424 1
"4" "FE" 0.795774715459477 2 56 0.038033231299927 0.272227038791302 1
"5" "FE" 0.99945325388133 2 56 0.0143471615289875 0.228088860153132 1
"6" "FE" 0.99945325388133 2 112 0.00653896529474292 0.192954260929894 1
"7" "FE" 1.00426769090986 2 56 0.0134426226137575 0.229275274923877 1
"8" "FE" 1.00426769090986 2 112 0.00645488491074979 0.195286438937228 1
"9" "FE" 1.26122334653172 2 112 0.0221538643184359 0.192689983792848 1
"10" "MC" 0.316797914224418 1 56 0.0031949824350222 0.323655464516802 1
"11" "MC" 0.397887357729738 1 56 0.0398582238284998 0.317566677285797 1
"12" "MC" 0.50213384545493 1 56 0.0482502999291189 0.339831975466144 1
"13" "MC" 0.630611673265862 1 56 0.0354230080122611 0.271996241922175 1
"14" "MC" 0.633595828448835 1 56 0.0340493404022271 0.269436317247358 1
"15" "MC" 1.26122334653172 2 56 0.00305088857923498 0.163620084342523 1
"16" "SY" 0.397887357729738 1 56 0.0355128585854766 0.354100139065425 1
"17" "SY" 0.633595828448835 2 56 0.072442937163492 0.360776527667831 1
"18" "SY" 0.633595828448835 2 112 0.0175545920964892 0.290410013224726 1
"19" "SY" 0.795774715459477 2 56 0.0964599596041443 0.379124116523041 1
"20" "SY" 0.99945325388133 2 56 0.0653471138847731 0.390262317918829 1
"21" "SY" 1.00426769090986 2 56 0.064383463477899 0.391762759304374 1
"22" "SY" 1.26122334653172 2 56 0.0133591543332683 0.28229325668576 1
