"subject" "freqMatch" "number" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" "AB" 0.390873696820565 1 112 -0.183085343611797 -0.0290133146625597 1
"2" "AB" 0.492543642537615 1 112 -0.214770266060142 -0.0619172618108782 1
"3" "AB" 0.693418867932734 1 112 -0.147971897936413 -0.00906839204282934 1
"4" "AB" 0.701441285328431 1 112 -0.14382434479155 -0.00447440072077137 1
"5" "AB" 1.10343337202688 2 56 -0.132734289959685 -0.0165194289737424 1
"6" "AB" 1.16626981611397 1 56 -0.136367653527602 -0.00479886429204881 1
"7" "AB" 1.28428458452878 1 56 -0.129643344526742 -0.00257420866926768 1
"8" "AB" 1.33552318689997 2 56 -0.147716584031442 -0.0311988971414592 1
"9" "AB" 1.73622821626358 1 112 -0.1806066734354 -0.011881870157617 1
"10" "AB" 1.73795491847492 2 56 -0.137877549882188 -0.0114208945894425 1
"11" "FE" 0.303237073640551 1 56 -0.590137049880639 -0.0684474806417302 1
"12" "FE" 0.303237073640551 1 112 -0.22834971743259 -0.00942838552697573 1
"13" "FE" 0.320364880870382 1 56 -0.534020751183502 -0.0616377173389224 1
"14" "FE" 0.320364880870382 1 112 -0.289620233824252 -0.0694951822493798 1
"15" "FE" 0.363678901507263 2 112 -0.441100267406909 -0.0219972877639696 1
"16" "FE" 0.424458888157432 1 112 -0.681122451267061 -0.149349540697983 1
"17" "FE" 0.457779488002724 2 112 -0.321410703565817 -0.043442458168285 1
"18" "FE" 0.498755452528444 1 112 -0.442442591134441 -0.101432422968511 1
"19" "FE" 0.58316645895587 2 112 -0.290962227257113 -0.0820631928203404 1
"20" "FE" 0.603494867212866 1 112 -0.181791307434385 -0.00728489016300301 1
"21" "FE" 0.665345203086195 2 112 -0.271693144766934 -0.108914176924521 1
"22" "FE" 0.75937667458979 2 112 -0.21459837575976 -0.0801922251841992 1
"23" "FE" 1.02203069766854 2 56 -0.259916446876738 -0.0395359453035625 1
"24" "FE" 1.05155924362371 2 56 -0.269038358048169 -0.0422955388380621 1
"25" "FE" 1.2812022078712 1 112 -0.170472007831415 -0.0279647530092522 1
"26" "FE" 1.49507427035245 2 112 -0.216319788427671 -0.0295808615443646 1
"27" "FE" 1.53954741810961 2 112 -0.212961405254088 -0.0274661771584092 1
"28" "MC" 0.432366347005796 1 56 0.0327710409572586 0.257383516540753 1
"29" "MC" 0.474963726540341 1 56 0.0302966212990497 0.278270685181934 1
"30" "MC" 0.556156834091604 2 56 0.036131193894127 0.158352218561721 1
"31" "SY" 0.360839252494653 2 56 0.125567457712561 0.358353579005996 1
"32" "SY" 0.360839252494653 2 112 0.0302113590482229 0.245954377750961 1
"33" "SY" 0.367337590283953 2 56 0.128387331274999 0.364538665624186 1
"34" "SY" 0.367337590283953 2 112 0.0271510988790706 0.243604054370018 1
"35" "SY" 0.402842938843116 1 56 0.133942450444557 0.426066906920692 1
"36" "SY" 0.554688481527956 2 56 0.0943607535412094 0.34368245990112 1
"37" "SY" 0.572406546065618 2 56 0.0877185168024185 0.346474087706005 1
