"subject" "speed" "radius" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" "AB" 3.981 2 56 0.02136439343325 0.160518768877415 1
"2" "AB" 5.01199660813932 2 56 0.0574932697858632 0.148811470337475 1
"3" "AB" 5.01199660813932 4 56 0.00721699980011115 0.116133625726688 1
"4" "AB" 6.31 2 56 0.0595841094362022 0.171094256760751 1
"5" "AB" 6.31 4 56 0.0212251460687566 0.169547950346263 1
"6" "AB" 7.94415940652074 2 56 0.0693680480701421 0.154225043383161 1
"7" "AB" 7.94415940652074 4 56 0.0575983407714674 0.158106189320219 1
"8" "AB" 7.94415940652074 4 112 0.0178382149434403 0.144113933032647 1
"9" "AB" 10 2 56 0.0412905324270874 0.171373825568548 1
"10" "AB" 10 4 56 0.0630615353034342 0.201967954200468 1
"11" "AB" 10 4 112 0.0459922969357852 0.196345859043821 1
"12" "AB" 12.5897930372753 2 56 0.0521377227365635 0.143883847656409 1
"13" "AB" 12.5897930372753 4 56 0.0539907209331511 0.157576806913218 1
"14" "AB" 12.5897930372753 4 112 0.0267786211299229 0.128519695315365 1
"15" "AB" 15.849 2 56 0.0220343456749754 0.166253847686568 1
"16" "AB" 15.849 4 56 0.00861868537467656 0.138435177653004 1
"17" "AB" 19.9535629847777 2 56 0.0455909269347064 0.154713327837846 1
"18" "AB" 19.9535629847777 2 112 -0.126414399772044 -0.00883332003115955 1
"19" "AB" 19.9535629847777 4 56 0.0162962027501944 0.110228705797854 1
"20" "AB" 25.119 2 56 0.0284491810148529 0.20203981656466 1
"21" "AB" 25.119 2 112 -0.215452504108988 -0.0280027294428868 1
"22" "AB" 31.6243011303319 2 112 -0.147100920559809 -0.0256001223142108 1
"23" "AD" 5.01199660813932 2 112 0.0229628708737018 0.298466245584908 1
"24" "AD" 6.31 2 112 0.00806310191535813 0.320916017224535 1
"25" "AD" 6.31 4 56 -0.190902665329234 -0.0167484771079303 1
"26" "AD" 7.94415940652074 2 112 0.0199529536926666 0.215708858843076 1
"27" "AD" 12.5897930372753 2 56 0.00957219923147551 0.109541253828606 1
"28" "AD" 12.5897930372753 2 112 0.0146428234521778 0.1314134986576 1
"29" "AD" 12.5897930372753 4 112 0.0307951091322239 0.178956791037619 1
"30" "AD" 15.849 2 112 0.0241068616171349 0.151822120558536 1
"31" "AD" 15.849 4 112 0.0161874816064731 0.217511046012721 1
"32" "AD" 19.9535629847777 2 112 0.0203071471973797 0.118348335085339 1
"33" "AD" 19.9535629847777 4 112 0.0472050978248883 0.177587615274088 1
"34" "AD" 25.119 4 112 0.0292292923930631 0.179109132832769 1
"35" "AD" 31.6243011303319 2 112 0.0249245991986104 0.148637515599507 1
"36" "AD" 31.6243011303319 4 112 0.023115748275966 0.137515323418589 1
"37" "AD" 39.182 2 112 0.0444790044431703 0.227804643756686 1
"38" "FE" 3.981 2 112 0.0229034657190593 0.543591266639966 1
"39" "FE" 12.5897930372753 2 112 0.0204893580225619 0.1325436804514 1
"40" "FE" 15.849 4 112 0.00507388660518764 0.182827747004208 1
"41" "FE" 19.9535629847777 2 112 0.0119524696744539 0.126502031443334 1
"42" "FE" 19.9535629847777 4 112 0.00821108242881418 0.12479959782959 1
"43" "FE" 31.6243011303319 2 56 0.000256800460882534 0.112469094764206 1
"44" "FE" 31.6243011303319 2 112 0.0235085005792159 0.157018832934861 1
"45" "FE" 31.6243011303319 4 112 0.017711749357687 0.11851421680614 1
"46" "FE" 39.182 2 56 0.0323704255397617 0.201088173747047 1
"47" "FE" 39.182 2 112 0.0280927594248733 0.208585566939465 1
"48" "FE" 39.182 4 112 0.0432985196669294 0.191406551997301 1
"49" "MA" 5.01199660813932 2 56 0.00576730303500178 0.179059255504125 1
"50" "MA" 7.94415940652074 2 56 0.0236117770428913 0.167602004931228 1
"51" "MA" 7.94415940652074 2 112 0.00347119667802932 0.117162693712421 1
"52" "MA" 10 2 56 0.000475857606882319 0.206796980545178 1
"53" "MA" 10 2 112 0.032435897355199 0.177985726439703 1
"54" "MA" 12.5897930372753 2 56 0.0242393550578363 0.171662997912751 1
"55" "MA" 12.5897930372753 2 112 0.0293978521449665 0.138063069191718 1
"56" "MA" 19.9535629847777 4 56 0.0126321910136739 0.147443967046632 1
"57" "MA" 25.119 2 56 -0.259799384017299 -0.0132835364412442 1
"58" "MA" 31.6243011303319 4 56 0.00044682375373924 0.139693330158078 1
"59" "MC" 3.981 2 56 0.0158615060227395 0.276074713811481 1
"60" "MC" 3.981 2 112 0.00353664682504207 0.160820050066953 1
"61" "MC" 5.01199660813932 2 56 0.104853164516011 0.290997006802532 1
"62" "MC" 6.31 2 56 0.152335405599542 0.391725664979952 1
"63" "MC" 7.94415940652074 2 56 0.133812007181731 0.299827325022377 1
"64" "MC" 10 2 56 0.0561295205223217 0.257470507824433 1
"65" "MC" 10 2 112 0.027028592921306 0.173316665524787 1
"66" "MC" 10 4 56 0.0197438797163367 0.233657599769616 1
"67" "MC" 12.5897930372753 2 56 0.0381458773443619 0.171627979156392 1
"68" "MC" 12.5897930372753 2 112 0.0384295129654031 0.135396338880488 1
"69" "MC" 12.5897930372753 4 56 0.0667149446299952 0.204571189338887 1
"70" "MC" 15.849 2 112 0.0157506774291427 0.136418984573594 1
"71" "MC" 15.849 4 56 0.0685939695037947 0.219832350637638 1
"72" "MC" 19.9535629847777 2 56 0.00154607490049583 0.114846684759029 1
"73" "MC" 19.9535629847777 4 56 0.072006508223632 0.175205424718293 1
"74" "MC" 19.9535629847777 4 112 0.0155998100605324 0.110449564452714 1
"75" "MC" 25.119 4 56 0.034033622855599 0.161139343977442 1
"76" "MC" 25.119 4 112 0.006037229747554 0.137504889348058 1
"77" "MC" 31.6243011303319 4 56 0.0267006077580415 0.138368589917807 1
"78" "MC" 31.6243011303319 4 112 0.00241028098697502 0.0926613922781041 1
"79" "MP" 31.6243011303319 2 112 -0.115702726551248 -0.000925389910341671 1
"80" "SY" 6.31 2 56 -0.284600329460159 -0.0188966209934459 1
"81" "SY" 6.31 4 56 0.00773050336268526 0.288510065826707 1
"82" "SY" 7.94415940652074 2 56 -0.202806269439232 -0.025803355264623 1
