"subject" "speed" "radius" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" "AB" 3.981 2 56 0.00113173593982691 0.178333203764899 1
"2" "AB" 5.01199660813932 2 56 0.0436090034948723 0.162712198438283 1
"3" "AB" 6.31 2 56 0.0411982333179667 0.190098625755441 1
"4" "AB" 7.94415940652074 2 56 0.0576541067833932 0.164036279118491 1
"5" "AB" 7.94415940652074 4 56 0.04344729018215 0.170442546560041 1
"6" "AB" 7.94415940652074 4 112 0.00392163140548426 0.16452840623415 1
"7" "AB" 10 2 56 0.0200554666756245 0.198658000823026 1
"8" "AB" 10 4 56 0.0468979680777623 0.227844792627066 1
"9" "AB" 10 4 112 0.0171765339360106 0.222416290847739 1
"10" "AB" 12.5897930372753 2 56 0.0386433031891249 0.160131036586235 1
"11" "AB" 12.5897930372753 4 56 0.0399071918364643 0.167421432496121 1
"12" "AB" 12.5897930372753 4 112 0.0109509821569077 0.149663100959906 1
"13" "AB" 19.9535629847777 2 56 0.0332499711975328 0.18044586631995 1
"14" "AB" 19.9535629847777 4 56 0.000730419293172891 0.12305303863003 1
"15" "AB" 25.119 2 56 0.00374330641713069 0.254102845623751 1
"16" "AB" 25.119 2 112 -0.257064427135818 -0.0132282193328461 1
"17" "AB" 31.6243011303319 2 112 -0.170224445381261 -0.00271857477266698 1
"18" "AD" 12.5897930372753 4 112 0.0173751652062025 0.215994194878332 1
"19" "AD" 15.849 2 112 0.0107032852462124 0.170959684156471 1
"20" "AD" 19.9535629847777 2 112 0.0053295087000988 0.132044846248977 1
"21" "AD" 19.9535629847777 4 112 0.0299255824083609 0.206687029373047 1
"22" "AD" 25.119 4 112 0.00726309196214173 0.196004175497177 1
"23" "AD" 31.6243011303319 2 112 0.00987505497350919 0.162913360859872 1
"24" "AD" 31.6243011303319 4 112 0.0110376407703725 0.151577594541625 1
"25" "AD" 39.182 2 112 0.018690538270578 0.268824333880365 1
"26" "FE" 12.5897930372753 2 112 0.00490665231508528 0.148027967213429 1
"27" "FE" 31.6243011303319 2 112 0.011033207071408 0.187463994553041 1
"28" "FE" 31.6243011303319 4 112 0.00570556187673108 0.135947986340599 1
"29" "FE" 39.182 2 56 0.0118904208258952 0.225902387489397 1
"30" "FE" 39.182 4 112 0.0187188375398716 0.214697527114224 1
"31" "MA" 7.94415940652074 2 56 0.00467077012753418 0.185988855527297 1
"32" "MA" 10 2 112 0.0105783731539392 0.208468152978941 1
"33" "MA" 12.5897930372753 2 112 0.0154786125576824 0.154943464404038 1
"34" "MC" 5.01199660813932 2 56 0.0791483141231069 0.324497765491879 1
"35" "MC" 6.31 2 56 0.139408239753537 0.439799130074116 1
"36" "MC" 7.94415940652074 2 56 0.116669221689778 0.320072057600024 1
"37" "MC" 10 2 56 0.0188397824640138 0.303950947463856 1
"38" "MC" 10 2 112 0.00786607285896462 0.202754522406277 1
"39" "MC" 12.5897930372753 2 56 0.0225966183043895 0.189987231761316 1
"40" "MC" 12.5897930372753 2 112 0.0207164086891007 0.152429565943819 1
"41" "MC" 12.5897930372753 4 56 0.0449432133054158 0.22471384006478 1
"42" "MC" 15.849 4 56 0.0571434975654068 0.256199544113166 1
"43" "MC" 19.9535629847777 4 56 0.0563540610221512 0.190875490325177 1
"44" "MC" 19.9535629847777 4 112 0.00383479550049992 0.123777505541077 1
"45" "MC" 25.119 4 56 0.0157445269211479 0.182388899948526 1
"46" "MC" 31.6243011303319 4 56 0.0121444660848388 0.161042328867872 1
"47" "SY" 7.94415940652074 2 56 -0.231798053121273 -0.00364515669962888 1
