"subject" "freq" "radius" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" "AB" 0.316797914224418 2 56 0.00113173593982691 0.178333203764899 1
"2" "AB" 0.316797914224418 4 56 0.0437828856600147 0.170756145634523 1
"3" "AB" 0.316797914224418 4 112 0.00404047310493562 0.164749656303539 1
"4" "AB" 0.397887357729738 2 56 0.0430953350368451 0.16264768142534 1
"5" "AB" 0.397887357729738 4 56 0.0468979680777623 0.227844792627066 1
"6" "AB" 0.397887357729738 4 112 0.0171765339360106 0.222416290847739 1
"7" "AB" 0.50213384545493 2 56 0.0411982333179667 0.190098625755441 1
"8" "AB" 0.50213384545493 4 56 0.0396346224106844 0.166673449066058 1
"9" "AB" 0.50213384545493 4 112 0.0104296353392883 0.149206962184763 1
"10" "AB" 0.630611673265862 2 56 0.0574768297765903 0.163829853580472 1
"11" "AB" 0.795774715459477 2 56 0.0200554666756245 0.198658000823026 1
"12" "AB" 0.795774715459477 4 56 0.000982294180401822 0.122727552894437 1
"13" "AB" 0.99945325388133 2 56 0.0389597812476116 0.160406068818445 1
"14" "AB" 1.55900224505666 2 56 0.0320312318868691 0.177143298863921 1
"15" "AB" 1.99890650776266 2 56 0.00374330641713069 0.254102845623751 1
"16" "AB" 1.99890650776266 2 112 -0.257064427135818 -0.0132282193328461 1
"17" "AD" 0.50213384545493 4 112 0.0176352083568922 0.215327757769485 1
"18" "AD" 0.795774715459477 4 112 0.0299777665294359 0.206031992962205 1
"19" "AD" 0.99945325388133 4 112 0.00726309196214173 0.196004175497177 1
"20" "AD" 1.26122334653172 2 112 0.0107032852462124 0.170959684156471 1
"21" "AD" 1.26122334653172 4 112 0.0108107603224864 0.151465081832924 1
"22" "AD" 1.55900224505666 2 112 0.00614129651207636 0.134148045799714 1
"23" "AD" 3.11800449011332 2 112 0.018690538270578 0.268824333880365 1
"24" "FE" 0.99945325388133 2 112 0.00432765399005624 0.148278141661003 1
"25" "FE" 1.26122334653172 4 112 0.00588694140176354 0.136479588318209 1
"26" "FE" 1.55900224505666 4 112 0.0187188375398716 0.214697527114224 1
"27" "FE" 3.11800449011332 2 56 0.0118904208258952 0.225902387489397 1
"28" "MA" 0.630611673265862 2 56 0.00471374206367191 0.186087000893046 1
"29" "MA" 0.795774715459477 2 112 0.0105783731539392 0.208468152978941 1
"30" "MA" 0.99945325388133 2 112 0.0154809519734329 0.1554697628974 1
"31" "MC" 0.397887357729738 2 56 0.0783548642149479 0.324407509533854 1
"32" "MC" 0.50213384545493 2 56 0.139408239753537 0.439799130074116 1
"33" "MC" 0.50213384545493 4 56 0.0452215888290476 0.224395939287378 1
"34" "MC" 0.630611673265862 2 56 0.116707514037436 0.321329935276987 1
"35" "MC" 0.630611673265862 4 56 0.0571434975654068 0.256199544113166 1
"36" "MC" 0.795774715459477 2 56 0.0188397824640138 0.303950947463856 1
"37" "MC" 0.795774715459477 2 112 0.00786607285896462 0.202754522406277 1
"38" "MC" 0.795774715459477 4 56 0.0562049518596005 0.190529911963991 1
"39" "MC" 0.795774715459477 4 112 0.00393877214469562 0.12373287528886 1
"40" "MC" 0.99945325388133 2 56 0.0225535272463766 0.191626728233599 1
"41" "MC" 0.99945325388133 2 112 0.0213196148295405 0.152899945281042 1
"42" "MC" 0.99945325388133 4 56 0.0157445269211479 0.182388899948526 1
"43" "MC" 1.26122334653172 4 56 0.0118294721395141 0.161286872378472 1
"44" "SY" 0.630611673265862 2 56 -0.233284797201109 -0.00354676303751055 1
