"subject" "freqMatch" "radius" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" "AB" 0.275485921542309 2 56 0.000645645801222176 0.171345684944021 1
"2" "AB" 0.390873696820565 2 56 0.0109905866026021 0.137898533281203 1
"3" "AB" 0.400188986127402 4 56 0.0178576390452578 0.172263523350235 1
"4" "AB" 0.492543642537615 4 56 0.0382205026342491 0.20542165961054 1
"5" "AB" 0.564532963706969 4 56 0.0352687832324799 0.185710497194855 1
"6" "AB" 0.701441285328431 4 56 0.000387162589611837 0.140819197779374 1
"7" "AB" 0.819303333761138 2 56 0.0130762157888383 0.167969773406843 1
"8" "AB" 1.33552318689997 2 56 0.00663856469733077 0.176592262054641 1
"9" "AB" 1.87923786212321 2 56 0.00824446136594723 0.17942255035104 1
"10" "AB" 1.87923786212321 2 112 -0.248358546556246 -0.0294960542071049 1
"11" "FE" 2.09325995469359 2 56 0.0160049990918531 0.192295427083936 1
"12" "FE" 2.09325995469359 2 112 0.00285876551868294 0.208530796145578 1
"13" "MC" 0.30220730448355 2 56 0.0176254063958639 0.346485529189143 1
"14" "MC" 0.432366347005796 4 56 0.00171523378875482 0.275168828972688 1
"15" "MC" 0.466304103397509 2 56 0.148507279758849 0.435518768416673 1
"16" "MC" 0.474963726540341 2 56 0.145372846426897 0.444342832262614 1
"17" "MC" 0.556156834091604 4 56 0.129851919903136 0.295092741079939 1
"18" "MC" 0.660641402748465 4 56 0.0811694910019588 0.267509441522538 1
"19" "MC" 0.685930330307144 2 56 0.00726198849269349 0.286330823538905 1
"20" "MC" 0.716609014433732 2 56 0.012114326442791 0.280596091272635 1
"21" "MC" 0.716609014433732 2 112 0.00772735473394123 0.194670973157303 1
"22" "MC" 0.869608852195032 4 56 0.021094099136049 0.184813974708554 1
"23" "MC" 0.878507510512231 4 56 0.0180460217867991 0.182047039629031 1
