"subject" "tf" "radius" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" "AB" 0.630611673265862 4 112 -0.150195808474749 -0.00749826366889907 1
"2" "AB" 0.633595828448835 2 112 -0.193142204502904 -0.0250661209870341 1
"3" "AB" 0.633595828448835 4 112 -0.149375313577084 -0.00766602455541246 1
"4" "AB" 0.795774715459477 2 112 -0.224179267233159 -0.0560095545081491 1
"5" "AB" 0.795774715459477 4 112 -0.14216967601517 -0.00413981944758232 1
"6" "AB" 0.99945325388133 2 112 -0.215687283584982 -0.054280575175369 1
"7" "AB" 0.99945325388133 4 112 -0.181686654060417 -0.0257591069683952 1
"8" "AB" 1.00426769090986 2 112 -0.215489924756242 -0.0542316595701505 1
"9" "AB" 1.00426769090986 4 112 -0.180702560274863 -0.0257616547451644 1
"10" "AB" 1.26122334653172 2 112 -0.214149623396003 -0.0604575506366474 1
"11" "AB" 1.55900224505666 2 112 -0.202096188181619 -0.0550690927501519 1
"12" "AB" 1.59154943091895 2 112 -0.203658765088339 -0.0510804983143538 1
"13" "AB" 1.99890650776266 2 112 -0.261505949853311 -0.058597838137105 1
"14" "AD" 0.316797914224418 4 112 0.0226330554696416 0.223413488971511 1
"15" "AD" 0.397887357729738 4 112 0.0725019850448415 0.342582964580057 1
"16" "AD" 0.50213384545493 4 112 0.0362065529591926 0.256123092321672 1
"17" "AD" 0.795774715459477 2 56 0.0166282305064665 0.19377454582839 1
"18" "AD" 0.99945325388133 4 56 0.00130876368569922 0.151698923230492 1
"19" "AD" 1.00426769090986 4 56 0.000213145034665969 0.149698834023767 1
"20" "AD" 1.55900224505666 2 112 -0.175671525026774 -0.00188552328055354 1
"21" "AD" 1.59154943091895 2 112 -0.18572035609873 -0.00529612461190959 1
"22" "FE" 0.316797914224418 4 56 -0.41552814385922 -0.0676554999575547 1
"23" "FE" 0.397887357729738 4 56 -0.350329966109916 -0.0594448729141717 1
"24" "FE" 0.630611673265862 4 112 -0.254855994373071 -0.0021673918185867 1
"25" "FE" 0.633595828448835 2 56 -0.358760857834805 -0.0108348544307085 1
"26" "FE" 0.633595828448835 2 112 -0.287584747397476 -0.0296550631645542 1
"27" "FE" 0.633595828448835 4 112 -0.251986328435771 -0.00244564394473462 1
"28" "FE" 0.795774715459477 2 56 -0.307025674244267 -0.0386943759096107 1
"29" "FE" 0.795774715459477 2 112 -0.237066521052691 -0.0128187968293026 1
"30" "FE" 0.795774715459477 4 112 -0.204031032368672 -0.0195606363213311 1
"31" "FE" 0.99945325388133 2 56 -0.265276477398559 -0.0357188021410409 1
"32" "FE" 0.99945325388133 2 112 -0.208707766077005 -0.00584863307630469 1
"33" "FE" 0.99945325388133 4 112 -0.18985078492465 -0.0282298038588354 1
"34" "FE" 1.00426769090986 2 56 -0.265833865729038 -0.0345663311137017 1
"35" "FE" 1.00426769090986 2 112 -0.208569810373667 -0.00546145552815227 1
"36" "FE" 1.00426769090986 4 112 -0.188029285880428 -0.0268587123480597 1
"37" "FE" 1.26122334653172 2 56 -0.222162774852609 -0.0199464552454022 1
"38" "FE" 1.26122334653172 2 112 -0.157708872581466 -0.00349476452411064 1
"39" "FE" 2.52244669306345 2 56 0.0301448998498291 0.306448604678429 1
"40" "FE" 3.11800449011332 2 56 0.0467189248280214 0.276669619681988 1
"41" "MC" 0.397887357729738 4 56 -0.351479669515545 -0.00916892799954485 1
"42" "MC" 0.630611673265862 4 56 -0.290670961689296 -0.0108541556533479 1
"43" "MC" 0.633595828448835 4 56 -0.289186208141511 -0.0104108305548128 1
"44" "MC" 1.26122334653172 2 56 -0.220525468777974 -0.0656610612886259 1
"45" "MC" 1.55900224505666 2 56 -0.204950500377875 -0.0285888738101562 1
"46" "MC" 1.55900224505666 4 56 -0.1713225739853 -0.0146845631646686 1
"47" "MC" 1.55900224505666 4 112 -0.141576888316244 -0.0207999146640589 1
"48" "MC" 1.59154943091895 2 56 -0.208718551729972 -0.0212585988991532 1
"49" "MC" 1.99890650776266 2 56 -0.259627724148432 -0.022984026877476 1
"50" "MC" 1.99890650776266 2 112 -0.145764197530828 -0.0227149838571049 1
"51" "MC" 2.52244669306345 2 56 -0.221065427194267 -0.0106175802578889 1
"52" "MC" 2.52244669306345 2 112 -0.141455993596702 -0.00350131329469011 1
"53" "MP" 1.55900224505666 2 56 -0.157309578986341 -0.0193189493756738 1
"54" "MP" 1.59154943091895 2 56 -0.163224899272113 -0.0171107697857842 1
"55" "MP" 1.99890650776266 2 56 -0.155763234122691 -0.0127439526295242 1
"56" "SY" 0.316797914224418 4 56 -0.383731212923463 -0.00548810988014011 1
"57" "SY" 0.397887357729738 4 56 -0.339502834435562 -0.0551650516172699 1
"58" "SY" 0.633595828448835 2 56 -0.363744182224017 -0.0956432522957326 1
"59" "SY" 0.633595828448835 2 112 -0.278864543143108 -0.0177042236634732 1
"60" "SY" 0.795774715459477 2 56 -0.404123728561834 -0.125308871838885 1
"61" "SY" 0.99945325388133 2 56 -0.3723029032076 -0.0441327328673132 1
"62" "SY" 1.00426769090986 2 56 -0.372653142865815 -0.0417583075608115 1
