"subject" "freq" "radius" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" "AB" 0.251066922727465 4 56 0.0212251460687566 0.169547950346263 1
"2" "AB" 0.316797914224418 2 56 0.02136439343325 0.160518768877415 1
"3" "AB" 0.316797914224418 4 56 0.0579124602706845 0.158711864713058 1
"4" "AB" 0.316797914224418 4 112 0.0187387293122664 0.144504818951656 1
"5" "AB" 0.397887357729738 2 56 0.0573651036993428 0.148584020440201 1
"6" "AB" 0.397887357729738 4 56 0.0630615353034342 0.201967954200468 1
"7" "AB" 0.397887357729738 4 112 0.0459922969357852 0.196345859043821 1
"8" "AB" 0.50213384545493 2 56 0.0595841094362022 0.171094256760751 1
"9" "AB" 0.50213384545493 4 56 0.0535253105478748 0.157106930875548 1
"10" "AB" 0.50213384545493 4 112 0.0262040346820602 0.127768258662317 1
"11" "AB" 0.630611673265862 2 56 0.0692920435024158 0.154047570353186 1
"12" "AB" 0.630611673265862 4 56 0.00861868537467656 0.138435177653004 1
"13" "AB" 0.795774715459477 2 56 0.0412905324270874 0.171373825568548 1
"14" "AB" 0.795774715459477 4 56 0.0160321900158995 0.110048968009497 1
"15" "AB" 0.99945325388133 2 56 0.0521379001899997 0.14479961617347 1
"16" "AB" 1.26122334653172 2 56 0.0220343456749754 0.166253847686568 1
"17" "AB" 1.55900224505666 2 56 0.0446137475694835 0.153491595876614 1
"18" "AB" 1.55900224505666 2 112 -0.122339577322005 -0.00560797728765614 1
"19" "AB" 1.99890650776266 2 56 0.0284491810148529 0.20203981656466 1
"20" "AB" 1.99890650776266 2 112 -0.215452504108988 -0.0280027294428868 1
"21" "AD" 0.251066922727465 4 56 -0.190902665329234 -0.0167484771079303 1
"22" "AD" 0.397887357729738 2 112 0.0225102833494573 0.299990065894943 1
"23" "AD" 0.50213384545493 2 112 0.00806310191535813 0.320916017224535 1
"24" "AD" 0.50213384545493 4 112 0.0311426199520939 0.178663861802082 1
"25" "AD" 0.630611673265862 2 112 0.0199813522609841 0.216922838581546 1
"26" "AD" 0.630611673265862 4 112 0.0161874816064731 0.217511046012721 1
"27" "AD" 0.795774715459477 4 112 0.0474538501229845 0.177457600618929 1
"28" "AD" 0.99945325388133 2 56 0.00945528446940266 0.109627303593283 1
"29" "AD" 0.99945325388133 2 112 0.0140203657690811 0.131281998558702 1
"30" "AD" 0.99945325388133 4 112 0.0292292923930631 0.179109132832769 1
"31" "AD" 1.26122334653172 2 112 0.0241068616171349 0.151822120558536 1
"32" "AD" 1.26122334653172 4 112 0.0229738707972882 0.137196020632792 1
"33" "AD" 1.55900224505666 2 112 0.0209466780893655 0.120884347902151 1
"34" "AD" 3.11800449011332 2 112 0.0444790044431703 0.227804643756686 1
"35" "FE" 0.316797914224418 2 112 0.0229034657190593 0.543591266639966 1
"36" "FE" 0.630611673265862 4 112 0.00507388660518764 0.182827747004208 1
"37" "FE" 0.795774715459477 4 112 0.0084830251716208 0.124576854169216 1
"38" "FE" 0.99945325388133 2 112 0.0205588025491319 0.13274723017955 1
"39" "FE" 1.26122334653172 4 112 0.0181867308958564 0.119152262220633 1
"40" "FE" 1.55900224505666 2 112 0.0139965831848981 0.124263965543337 1
"41" "FE" 1.55900224505666 4 112 0.0432985196669294 0.191406551997301 1
"42" "FE" 3.11800449011332 2 56 0.0323704255397617 0.201088173747047 1
"43" "FE" 3.11800449011332 2 112 0.0280927594248733 0.208585566939465 1
"44" "MA" 0.397887357729738 2 56 0.0052471142818609 0.17940206933837 1
"45" "MA" 0.630611673265862 2 56 0.0234630313347814 0.167236570193134 1
"46" "MA" 0.630611673265862 2 112 0.00296044569407901 0.116563222918572 1
"47" "MA" 0.795774715459477 2 56 0.000475857606882319 0.206796980545178 1
"48" "MA" 0.795774715459477 2 112 0.032435897355199 0.177985726439703 1
"49" "MA" 0.795774715459477 4 56 0.012793224343868 0.147806987089328 1
"50" "MA" 0.99945325388133 2 56 0.0243161495358202 0.171837130815429 1
"51" "MA" 0.99945325388133 2 112 0.0296476788445786 0.138182395515202 1
"52" "MA" 1.26122334653172 4 56 0.000499020113312344 0.139566565938813 1
"53" "MA" 1.99890650776266 2 56 -0.259799384017299 -0.0132835364412442 1
"54" "MC" 0.316797914224418 2 56 0.0158615060227395 0.276074713811481 1
"55" "MC" 0.316797914224418 2 112 0.00353664682504207 0.160820050066953 1
"56" "MC" 0.397887357729738 2 56 0.104071555323578 0.291363154912481 1
"57" "MC" 0.397887357729738 4 56 0.0197438797163367 0.233657599769616 1
"58" "MC" 0.50213384545493 2 56 0.152335405599542 0.391725664979952 1
"59" "MC" 0.50213384545493 4 56 0.0669510178484343 0.204042959389963 1
"60" "MC" 0.630611673265862 2 56 0.134722742367054 0.300489347810499 1
"61" "MC" 0.630611673265862 4 56 0.0685939695037947 0.219832350637638 1
"62" "MC" 0.795774715459477 2 56 0.0561295205223217 0.257470507824433 1
"63" "MC" 0.795774715459477 2 112 0.027028592921306 0.173316665524787 1
"64" "MC" 0.795774715459477 4 56 0.072166998271615 0.174737110851478 1
"65" "MC" 0.795774715459477 4 112 0.0156938212692999 0.110703193276392 1
"66" "MC" 0.99945325388133 2 56 0.0384917398871485 0.172779183147681 1
"67" "MC" 0.99945325388133 2 112 0.0382937358562462 0.135676892133907 1
"68" "MC" 0.99945325388133 4 56 0.034033622855599 0.161139343977442 1
"69" "MC" 0.99945325388133 4 112 0.006037229747554 0.137504889348058 1
"70" "MC" 1.26122334653172 2 112 0.0157506774291427 0.136418984573594 1
"71" "MC" 1.26122334653172 4 56 0.0265341001030209 0.138089623539205 1
"72" "MC" 1.26122334653172 4 112 0.00228102727047582 0.0922257384485248 1
"73" "MC" 1.55900224505666 2 56 0.00230649251686306 0.112655550052187 1
"74" "SY" 0.251066922727465 4 56 0.00773050336268526 0.288510065826707 1
"75" "SY" 0.50213384545493 2 56 -0.284600329460159 -0.0188966209934459 1
"76" "SY" 0.630611673265862 2 56 -0.20380297670624 -0.0261089643267129 1
