"subject" "freqMatch" "radius" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" "AB" 0.275485921542309 2 56 0.0200664365694186 0.152662950947973 1
"2" "AB" 0.390873696820565 2 56 0.0217477539315664 0.119831157047076 1
"3" "AB" 0.400188986127402 4 56 0.0364519154993926 0.157742980620067 1
"4" "AB" 0.492543642537615 4 56 0.053924925786787 0.178093624160173 1
"5" "AB" 0.492543642537615 4 112 0.00719289473648909 0.146534064042016 1
"6" "AB" 0.564532963706969 4 56 0.0501325001070822 0.169343491918814 1
"7" "AB" 0.564532963706969 4 112 0.00447211587846466 0.13171069497169 1
"8" "AB" 0.606119225029857 2 56 0.0158640620304673 0.12144831047549 1
"9" "AB" 0.606119225029857 2 112 -0.135425849262341 -0.00696493997237413 1
"10" "AB" 0.693418867932734 2 56 0.0133247834401001 0.131658785598094 1
"11" "AB" 0.693418867932734 2 112 -0.138862368129784 -0.00870392501904422 1
"12" "AB" 0.701441285328431 4 56 0.0137258868478003 0.124547387680693 1
"13" "AB" 0.807742912622275 4 56 0.00684038450577374 0.1279849458905 1
"14" "AB" 0.819303333761138 2 56 0.0291275640772802 0.14319154056733 1
"15" "AB" 1.16626981611397 2 56 0.0101331733097997 0.135220596017167 1
"16" "AB" 1.28428458452878 4 56 0.000475118951575604 0.124469385077503 1
"17" "AB" 1.33552318689997 2 56 0.0272258468869426 0.156375073463883 1
"18" "AB" 1.87923786212321 2 56 0.0277866377950849 0.153535234953624 1
"19" "AB" 1.87923786212321 2 112 -0.203898689720227 -0.0444624053097112 1
"20" "FE" 0.320364880870382 2 112 -0.175360424967281 -0.00681533976396783 1
"21" "FE" 0.424458888157432 4 56 -0.234313250396136 -0.0339187974539304 1
"22" "FE" 0.457779488002724 2 56 -0.178054104578458 -0.00437209767282981 1
"23" "FE" 0.58316645895587 4 56 -0.216109145252249 -0.0112073426780993 1
"24" "FE" 0.603494867212866 4 56 -0.213273758697755 -0.00304308038118542 1
"25" "FE" 1.05155924362371 2 56 0.00715418906416802 0.219218231403206 1
"26" "FE" 1.53954741810961 4 56 0.00146246451965753 0.154650409619214 1
"27" "FE" 2.09325995469359 2 56 0.0330631791054625 0.172664454183186 1
"28" "FE" 2.09325995469359 2 112 0.022273852310641 0.178598322848422 1
"29" "FE" 2.12176541911804 4 112 0.0142990287831918 0.136602373375574 1
"30" "MC" 0.30220730448355 2 56 0.0476920203556367 0.296779885518267 1
"31" "MC" 0.30220730448355 2 112 0.00638962324778687 0.15907321483609 1
"32" "MC" 0.425807916530984 4 56 0.0285999452479347 0.236411902139371 1
"33" "MC" 0.432366347005796 4 56 0.0307752052937035 0.239910365848234 1
"34" "MC" 0.466304103397509 2 56 0.160959612418353 0.392443417453671 1
"35" "MC" 0.474963726540341 2 56 0.159412085690635 0.39500721046293 1
"36" "MC" 0.556156834091604 4 56 0.147910029579504 0.277934698041655 1
"37" "MC" 0.660641402748465 4 56 0.101623662224683 0.242760835033035 1
"38" "MC" 0.660641402748465 4 112 0.0136471463369984 0.129853316291916 1
"39" "MC" 0.685930330307144 2 56 0.0384362894432516 0.237776952981648 1
"40" "MC" 0.685930330307144 2 112 0.0199306934862224 0.160426241881076 1
"41" "MC" 0.716609014433732 2 56 0.0471904083365471 0.2387036590816 1
"42" "MC" 0.716609014433732 2 112 0.0248204832032513 0.164671122620567 1
"43" "MC" 0.869608852195032 4 56 0.040703157053461 0.164867161996656 1
"44" "MC" 0.869608852195032 4 112 0.00810079076327987 0.137500452642912 1
"45" "MC" 0.878507510512231 4 56 0.0365046195410908 0.162493576691636 1
"46" "MC" 0.878507510512231 4 112 0.00749088189903884 0.138467310265833 1
"47" "MC" 1.17776163397292 2 112 0.00597963932272824 0.117255021197196 1
"48" "MC" 1.435445544506 4 56 0.00149899983991088 0.183493533395136 1
"49" "MC" 2.14584384904854 2 112 -0.101084025927327 -0.00227076626790083 1
"50" "SY" 0.56302874786131 2 56 -0.281767264312078 -0.0246707759778946 1
"51" "SY" 0.572406546065618 2 56 -0.28539805103006 -0.0247582075284302 1
