"subject" "tf" "radius" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" "AB" 0.50213384545493 4 56 0.011512883687286 0.133293452230167 1
"2" "AB" 0.630611673265862 4 112 -0.138270908715523 -0.0208825746774516 1
"3" "AB" 0.633595828448835 2 112 -0.175801262394455 -0.0409061051481674 1
"4" "AB" 0.633595828448835 4 112 -0.138185236464382 -0.0208151108047587 1
"5" "AB" 0.795774715459477 2 112 -0.209532470610355 -0.0810940344222627 1
"6" "AB" 0.795774715459477 4 112 -0.120391462820843 -0.015408190289274 1
"7" "AB" 0.99945325388133 2 112 -0.193378484268357 -0.072699582572951 1
"8" "AB" 0.99945325388133 4 112 -0.154787602744221 -0.0439072865464721 1
"9" "AB" 1.00426769090986 2 112 -0.192987398051272 -0.0720162689872615 1
"10" "AB" 1.00426769090986 4 112 -0.154282126353114 -0.0437834778682311 1
"11" "AB" 1.26122334653172 2 112 -0.196173297886852 -0.0741244385872631 1
"12" "AB" 1.26122334653172 4 112 -0.134465909136059 -0.0130509899344322 1
"13" "AB" 1.55900224505666 2 112 -0.187761403288067 -0.0722784934844989 1
"14" "AB" 1.59154943091895 2 112 -0.188204063697705 -0.0700336716432085 1
"15" "AB" 1.99890650776266 2 112 -0.23079010671234 -0.0790564951151814 1
"16" "AD" 0.316797914224418 4 112 0.0407216952884575 0.190935203278521 1
"17" "AD" 0.397887357729738 4 112 0.0942185497034143 0.291479885250343 1
"18" "AD" 0.50213384545493 4 112 0.0575774301742862 0.22360267366048 1
"19" "AD" 0.630611673265862 4 112 0.0143413965653359 0.198736864208719 1
"20" "AD" 0.633595828448835 2 112 0.00150913923362515 0.234869953645963 1
"21" "AD" 0.633595828448835 4 112 0.0130760130164111 0.196548077290412 1
"22" "AD" 0.795774715459477 2 56 0.028227007989061 0.172682064080654 1
"23" "AD" 0.99945325388133 4 56 0.0229874601389806 0.137502059406306 1
"24" "AD" 1.00426769090986 4 56 0.0219286021848658 0.135573974798361 1
"25" "AD" 1.55900224505666 2 112 -0.149645770588659 -0.0261998742794276 1
"26" "AD" 1.59154943091895 2 112 -0.156023493279421 -0.0277081956584584 1
"27" "AD" 1.99890650776266 2 112 -0.152385044064418 -0.0136280589573814 1
"28" "FE" 0.316797914224418 4 56 -0.317290423196763 -0.0906665971174034 1
"29" "FE" 0.397887357729738 4 56 -0.28953261526179 -0.0838798145065611 1
"30" "FE" 0.397887357729738 4 112 -0.312609692816539 -0.0379781247438635 1
"31" "FE" 0.50213384545493 4 56 -0.20697232607889 -0.025457579913429 1
"32" "FE" 0.50213384545493 4 112 -0.239415642092345 -0.0242736748666167 1
"33" "FE" 0.630611673265862 4 112 -0.217495250715879 -0.0221753144114363 1
"34" "FE" 0.633595828448835 2 56 -0.27711833992771 -0.0368779187450214 1
"35" "FE" 0.633595828448835 2 112 -0.242478142109082 -0.0479092702380414 1
"36" "FE" 0.633595828448835 4 112 -0.216264917315718 -0.0228241408250304 1
"37" "FE" 0.795774715459477 2 56 -0.24565054068765 -0.0591343197475503 1
"38" "FE" 0.795774715459477 2 112 -0.201786214490061 -0.0327079313035863 1
"39" "FE" 0.795774715459477 4 112 -0.179445658491747 -0.0430803854403022 1
"40" "FE" 0.99945325388133 2 56 -0.221766661475687 -0.0593225099306811 1
