"subject" "speedMatch" "number" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" "AB" 7.36779560647782 1 112 -0.183085343611797 -0.0290133146625598 1
"2" "AB" 9.28422893381118 1 112 -0.214770266060142 -0.0619172618108782 1
"3" "AB" 13.0706377281482 1 112 -0.147971897936412 -0.00906839204282868 1
"4" "AB" 13.2218567334743 1 112 -0.14382434479155 -0.00447440072077137 1
"5" "AB" 20.7992290517128 2 56 -0.132734289959685 -0.0165194289737428 1
"6" "AB" 21.983668118443 1 56 -0.136367653527602 -0.00479886429204859 1
"7" "AB" 24.2081940952454 1 56 -0.129643344526742 -0.00257420866926746 1
"8" "AB" 25.1740189959826 2 56 -0.147716584031442 -0.0311988971414594 1
"9" "AB" 32.7271308550138 1 112 -0.180606673435399 -0.0118818701576163 1
"10" "AB" 32.7596784249062 2 56 -0.137877549882188 -0.0114208945894427 1
"11" "AD" 6.35047956679012 1 56 0.00656745578961449 0.151902425248318 1
"12" "AD" 6.35047956679012 1 112 0.0487220151881261 0.483440435778205 1
"13" "AD" 6.54211143092642 1 56 0.0285277644157888 0.222406643830836 1
"14" "AD" 6.54211143092642 1 112 0.0401587060403863 0.453810864496328 1
"15" "AD" 18.5854147142509 1 112 -0.151925631705404 -0.0206180293296093 1
"16" "AD" 19.0310357475796 2 112 -0.138643838063611 -0.0115765672436541 1
"17" "AD" 21.7042552225016 1 56 -0.128020928929757 -0.00393344671765308 1
"18" "AD" 21.7042552225016 1 112 -0.17259102872274 -0.037448791307712 1
"19" "AD" 21.9397672931848 2 112 -0.12759239731825 -0.00633097252584938 1
"20" "AD" 25.1957377491615 1 112 -0.189027818402077 -0.0409775605419186 1
"21" "AD" 26.5522810575907 2 112 -0.141720317940145 -0.0298493711900739 1
"22" "AD" 40.2655481919691 2 112 -0.154622462942118 -0.0179186220422164 1
"23" "FE" 5.71588417707134 1 56 -0.590137049880639 -0.0684474806417304 1
"24" "FE" 5.71588417707134 1 112 -0.228349717432591 -0.00942838552697716 1
"25" "FE" 6.03873573726337 1 56 -0.534020751183502 -0.0616377173389226 1
"26" "FE" 6.03873573726337 1 112 -0.289620233824253 -0.0694951822493797 1
"27" "FE" 6.85518579144495 2 112 -0.441100267406909 -0.0219972877639698 1
