"subject" "tf" "number" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" "AB" 1.99890650776266 2 56 -0.127620320160024 -0.00891532921476157 1
"2" "AB" 2.52244669306345 2 56 -0.143062671329646 -0.0258067441220413 1
"3" "AB" 3.11800449011332 2 56 -0.137966224508167 -0.0115365364769525 1
"4" "FE" 0.316797914224418 1 56 0.0931783832137542 0.446511473723065 1
"5" "FE" 0.397887357729738 1 56 0.0713243494043727 0.327341217793784 1
"6" "FE" 0.397887357729738 1 112 0.0369451117084425 0.347631518738733 1
"7" "FE" 0.633595828448835 2 56 0.017503555633618 0.265155732640359 1
"8" "FE" 0.795774715459477 2 56 0.0569134217484499 0.229217942710075 1
"9" "FE" 0.99945325388133 1 112 0.0233992281689399 0.154626435352618 1
"10" "FE" 0.99945325388133 2 56 0.036149493056063 0.1918335241282 1
"11" "FE" 0.99945325388133 2 112 0.019362872151799 0.167598575426928 1
"12" "FE" 1.00426769090986 1 112 0.0230982795997256 0.153151229868287 1
"13" "FE" 1.00426769090986 2 56 0.0345266810546824 0.190926609901966 1
"14" "FE" 1.00426769090986 2 112 0.0189238893431235 0.167828553337425 1
"15" "FE" 1.26122334653172 1 112 0.00458582960687357 0.11490995696791 1
"16" "FE" 1.26122334653172 2 112 0.0406806992403282 0.175142960044176 1
"17" "FE" 3.11800449011332 2 56 -0.162703290155294 -0.00568259097601252 1
"18" "FE" 3.11800449011332 2 112 0.0075699252869781 0.148214796369519 1
"19" "MC" 0.316797914224418 1 56 0.0349037567889208 0.270667854142786 1
"20" "MC" 0.316797914224418 1 112 0.00845677657445575 0.161453655527526 1
"21" "MC" 0.397887357729738 1 56 0.0707094601112353 0.282443345913555 1
"22" "MC" 0.50213384545493 1 56 0.0753477505062555 0.309680921961364 1
"23" "MC" 0.630611673265862 1 56 0.0650335878172764 0.255058060549488 1
"24" "MC" 0.633595828448835 1 56 0.0634125404808456 0.252982997233331 1
"25" "MC" 0.795774715459477 2 56 0.0172561856332972 0.203943813995922 1
"26" "MC" 1.26122334653172 2 56 0.0259861132983861 0.14626684107835 1
"27" "MP" 0.316797914224418 1 112 -0.112818714621754 -0.00272544746232409 1
"28" "SY" 0.316797914224418 1 56 0.00163002885360399 0.304646232442456 1
"29" "SY" 0.397887357729738 1 56 0.070639206585824 0.304685143536834 1
"30" "SY" 0.633595828448835 2 56 0.0988822921889772 0.319501906284377 1
"31" "SY" 0.633595828448835 2 112 0.0410866037820848 0.236927310995225 1
"32" "SY" 0.795774715459477 2 56 0.136197029081058 0.340862520546963 1
"33" "SY" 0.795774715459477 2 112 0.00170425591121165 0.179781331757071 1
"34" "SY" 0.99945325388133 2 56 0.107665608704462 0.347584131100827 1
"35" "SY" 1.00426769090986 2 56 0.106392020435258 0.348367891669148 1
"36" "SY" 1.26122334653172 2 56 0.0394211208204858 0.243700862289421 1
