"subject" "radius" "number" "durationTest" "sample" "tf" "psesample"
"1" "AB" 2 1 56 1 0.316797914224418 0.923916888575933
"2" "AB" 2 1 56 1 0.397887357729738 0.945263812453055
"3" "AB" 2 1 56 1 0.50213384545493 0.972706864738659
"4" "AB" 2 1 56 1 0.630611673265862 1.01207283160268
"5" "AB" 2 1 56 1 0.633595828448835 1.01298718512229
"6" "AB" 2 1 56 1 0.795774715459477 1.06267925106771
"7" "AB" 2 1 56 1 0.99945325388133 1.07889291600505
"8" "AB" 2 1 56 1 1.00426769090986 1.07927616536184
"9" "AB" 2 1 56 1 1.26122334653172 1.09973091202434
"10" "AB" 2 1 56 1 1.55900224505666 1.11248158026679
"11" "AB" 2 1 56 1 1.59154943091895 1.11387522626122
"12" "AB" 2 1 56 1 1.99890650776266 1.13131794959983
"13" "AB" 2 1 56 1 2.52244669306345 1.17642436146935
"14" "AB" 2 1 56 1 3.11800449011332 1.22773556171734
"15" "AB" 2 1 56 2 0.316797914224418 0.923565931917178
"16" "AB" 2 1 56 2 0.397887357729738 0.947757188991465
"17" "AB" 2 1 56 2 0.50213384545493 0.978856842345064
"18" "AB" 2 1 56 2 0.630611673265862 1.0050915656944
"19" "AB" 2 1 56 2 0.633595828448835 1.00570091975175
"20" "AB" 2 1 56 2 0.795774715459477 1.03881728158882
"21" "AB" 2 1 56 2 0.99945325388133 1.06776319446597
"22" "AB" 2 1 56 2 1.00426769090986 1.06844740143181
"23" "AB" 2 1 56 2 1.26122334653172 1.10496482775739
"24" "AB" 2 1 56 2 1.55900224505666 1.11140982739283
"25" "AB" 2 1 56 2 1.59154943091895 1.11211426481958
"26" "AB" 2 1 56 2 1.99890650776266 1.12093092786977
"27" "AB" 2 1 56 2 2.52244669306345 1.1527592189936
"28" "AB" 2 1 56 2 3.11800449011332 1.18896577481831
"29" "AB" 2 1 56 3 0.316797914224418 0.93129786494754
"30" "AB" 2 1 56 3 0.397887357729738 0.96813181660251
"31" "AB" 2 1 56 3 0.50213384545493 1.01548459056523
"32" "AB" 2 1 56 3 0.630611673265862 1.04681456200712
"33" "AB" 2 1 56 3 0.633595828448835 1.04754226341875
"34" "AB" 2 1 56 3 0.795774715459477 1.08709040946927
