"subject" "radius" "number" "durationTest" "freq" "pse"
"1" "AB" 2 1 56 0.316797914224418 0.940968867628942
"2" "AB" 2 1 56 0.397887357729738 0.960607562864445
"3" "AB" 2 1 56 0.50213384545493 0.985854560664749
"4" "AB" 2 1 56 0.630611673265862 1.01495305369996
"5" "AB" 2 1 56 0.795774715459477 1.0523602523959
"6" "AB" 2 1 56 0.99945325388133 1.08239070715703
"7" "AB" 2 1 56 1.26122334653172 1.12098620664394
"8" "AB" 2 1 56 1.55900224505666 1.13122401584703
"9" "AB" 2 1 56 1.99890650776266 1.14634817652974
"10" "AB" 2 1 56 3.11800449011332 1.21232581614245
"11" "AB" 2 1 112 0.316797914224418 0.881334115878951
"12" "AB" 2 1 112 0.397887357729738 0.923571198110487
"13" "AB" 2 1 112 0.50213384545493 0.97787009675947
"14" "AB" 2 1 112 0.630611673265862 1.02902461218866
"15" "AB" 2 1 112 0.795774715459477 1.09478565075991
"16" "AB" 2 1 112 0.99945325388133 1.12159945595063
"17" "AB" 2 1 112 1.26122334653172 1.15606087895311
"18" "AB" 2 1 112 1.55900224505666 1.19090004342536
"19" "AB" 2 1 112 1.99890650776266 1.24236741413691
"20" "AB" 2 1 112 3.11800449011332 1.10678788777426
"21" "AB" 2 2 56 0.316797914224418 1.03019365133262
"22" "AB" 2 2 56 0.397887357729738 1.06141005181383
"23" "AB" 2 2 56 0.50213384545493 1.10154104752569
"24" "AB" 2 2 56 0.630611673265862 1.12493731718342
"25" "AB" 2 2 56 0.795774715459477 1.15501409493172
"26" "AB" 2 2 56 0.99945325388133 1.18034128291971
"27" "AB" 2 2 56 1.26122334653172 1.21289208772005
"28" "AB" 2 2 56 1.55900224505666 1.22621226522597
"29" "AB" 2 2 56 1.99890650776266 1.24588996197978
"30" "AB" 2 2 56 3.11800449011332 1.20319819143944
"31" "AB" 2 2 112 0.316797914224418 0.924750428140408
"32" "AB" 2 2 112 0.397887357729738 0.954831071361668
"33" "AB" 2 2 112 0.50213384545493 0.993501966965055
"34" "AB" 2 2 112 0.630611673265862 1.02553001385088
"35" "AB" 2 2 112 0.795774715459477 1.06670326334703
"36" "AB" 2 2 112 0.99945325388133 1.09519438113291
"37" "AB" 2 2 112 1.26122334653172 1.13181150633574
"38" "AB" 2 2 112 1.55900224505666 1.12667028925647
"39" "AB" 2 2 112 1.99890650776266 1.11907524702927
"40" "AB" 2 2 112 3.11800449011332 1.07097964450039
"41" "AB" 4 1 56 0.158398957112209 0.924636092460383
"42" "AB" 4 1 56 0.251066922727465 0.969982034425189
"43" "AB" 4 1 56 0.316797914224418 0.965791056341804
"44" "AB" 4 1 56 0.397887357729738 0.960620830352737
"45" "AB" 4 1 56 0.50213384545493 0.988438477863729
"46" "AB" 4 1 56 0.630611673265862 1.02272213580762
"47" "AB" 4 1 56 0.795774715459477 1.0402840598724
"48" "AB" 4 1 56 0.99945325388133 1.06194136878292
"49" "AB" 4 1 56 1.26122334653172 1.08375061163149
"50" "AB" 4 1 56 1.55900224505666 1.10855990992586
"51" "AB" 4 1 112 0.158398957112209 0.809158501106242
"52" "AB" 4 1 112 0.251066922727465 0.86426273058319
"53" "AB" 4 1 112 0.316797914224418 0.872670455446085
"54" "AB" 4 1 112 0.397887357729738 0.883042697135298
"55" "AB" 4 1 112 0.50213384545493 0.94663864688084
"56" "AB" 4 1 112 0.630611673265862 1.02501701395273
"57" "AB" 4 1 112 0.795774715459477 1.06726365172438
"58" "AB" 4 1 112 0.99945325388133 1.11936207108191
"59" "AB" 4 1 112 1.26122334653172 1.12565435617384
"60" "AB" 4 1 112 1.55900224505666 1.13281220107853
"61" "AB" 4 2 56 0.158398957112209 0.963002402860225
"62" "AB" 4 2 56 0.251066922727465 1.06022774011242
"63" "AB" 4 2 56 0.316797914224418 1.07362545139358
"64" "AB" 4 2 56 0.397887357729738 1.09015362063752
"65" "AB" 4 2 56 0.50213384545493 1.09288042854425
"66" "AB" 4 2 56 0.630611673265862 1.09624106317434
"67" "AB" 4 2 56 0.795774715459477 1.10356364744317
"68" "AB" 4 2 56 0.99945325388133 1.11259383507798
"69" "AB" 4 2 56 1.26122334653172 1.1313571105383
"70" "AB" 4 2 56 1.55900224505666 1.15270144152249
"71" "AB" 4 2 112 0.158398957112209 0.860491962106093
"72" "AB" 4 2 112 0.251066922727465 0.907814224412544
"73" "AB" 4 2 112 0.316797914224418 0.948317138338396
"74" "AB" 4 2 112 0.397887357729738 0.998283808181547
"75" "AB" 4 2 112 0.50213384545493 1.02237704883666
"76" "AB" 4 2 112 0.630611673265862 1.05207058856007
"77" "AB" 4 2 112 0.795774715459477 1.06802385847344
"78" "AB" 4 2 112 0.99945325388133 1.0876973801999
"79" "AB" 4 2 112 1.26122334653172 1.09303295475256
"80" "AB" 4 2 112 1.55900224505666 1.09910248506904
"81" "AD" 2 1 56 0.316797914224418 1.0442716094589
"82" "AD" 2 1 56 0.397887357729738 1.05754516647248
"83" "AD" 2 1 56 0.50213384545493 1.0746093074811
"84" "AD" 2 1 56 0.630611673265862 1.0328108309823
"85" "AD" 2 1 56 0.795774715459477 0.979077329605244
"86" "AD" 2 1 56 0.99945325388133 0.999775002922512
"87" "AD" 2 1 56 1.26122334653172 1.02637590012007
"88" "AD" 2 1 56 1.55900224505666 1.03987026143365
"89" "AD" 2 1 56 1.99890650776266 1.05980527729188
"90" "AD" 2 1 56 3.11800449011332 1.14671571089924
"91" "AD" 2 1 112 0.316797914224418 0.825150825814192
"92" "AD" 2 1 112 0.397887357729738 0.81585574222553
"93" "AD" 2 1 112 0.50213384545493 0.803906223578673
"94" "AD" 2 1 112 0.630611673265862 0.836832828660037
"95" "AD" 2 1 112 0.795774715459477 0.879161208248995
"96" "AD" 2 1 112 0.99945325388133 0.927023783288439
"97" "AD" 2 1 112 1.26122334653172 0.988537336948236
"98" "AD" 2 1 112 1.55900224505666 1.02657952328263
"99" "AD" 2 1 112 1.99890650776266 1.08277866974349
"100" "AD" 2 1 112 3.11800449011332 1.09887307011649
"101" "AD" 2 2 56 0.316797914224418 1.09040320132992
"102" "AD" 2 2 56 0.397887357729738 1.07722404301874
"103" "AD" 2 2 56 0.50213384545493 1.06028125853626
"104" "AD" 2 2 56 0.630611673265862 1.05180556419189
"105" "AD" 2 2 56 0.795774715459477 1.04090974281578
"106" "AD" 2 2 56 0.99945325388133 1.05634768827189
"107" "AD" 2 2 56 1.26122334653172 1.07618872033982
"108" "AD" 2 2 56 1.55900224505666 1.08829569322804
"109" "AD" 2 2 56 1.99890650776266 1.10618114115056
"110" "AD" 2 2 56 3.11800449011332 1.14778530218994
"111" "AD" 2 2 112 0.316797914224418 0.948716295803205
"112" "AD" 2 2 112 0.397887357729738 0.938541132815316
"113" "AD" 2 2 112 0.50213384545493 0.925460206893691
"114" "AD" 2 2 112 0.630611673265862 0.932378459812693
"115" "AD" 2 2 112 0.795774715459477 0.941272132115815
"116" "AD" 2 2 112 0.99945325388133 0.999463900106739
"117" "AD" 2 2 112 1.26122334653172 1.07425265603803
"118" "AD" 2 2 112 1.55900224505666 1.09686517917316
"119" "AD" 2 2 112 1.99890650776266 1.13027031757268
"120" "AD" 2 2 112 3.11800449011332 1.21932895739128
"121" "AD" 4 1 56 0.158398957112209 1.0984871320543
"122" "AD" 4 1 56 0.251066922727465 1.16377075900242
"123" "AD" 4 1 56 0.316797914224418 1.10412636271457
"124" "AD" 4 1 56 0.397887357729738 1.03054568496964
"125" "AD" 4 1 56 0.50213384545493 1.03163831033758
"126" "AD" 4 1 56 0.630611673265862 1.03298490854867
"127" "AD" 4 1 56 0.795774715459477 1.0079048359252
"128" "AD" 4 1 56 0.99945325388133 0.976976170119483
"129" "AD" 4 1 56 1.26122334653172 1.02687747759224
"130" "AD" 4 1 56 1.55900224505666 1.083643154006
"131" "AD" 4 1 112 0.158398957112209 1.02085861222346
"132" "AD" 4 1 112 0.251066922727465 0.992751044206964
"133" "AD" 4 1 112 0.316797914224418 0.919659748511372
"134" "AD" 4 1 112 0.397887357729738 0.829490220286423
"135" "AD" 4 1 112 0.50213384545493 0.841010882299646
"136" "AD" 4 1 112 0.630611673265862 0.855209438651057
"137" "AD" 4 1 112 0.795774715459477 0.889170348390733
"138" "AD" 4 1 112 0.99945325388133 0.93105083428748
"139" "AD" 4 1 112 1.26122334653172 0.980077172796206
"140" "AD" 4 1 112 1.55900224505666 1.03584752047812
"141" "AD" 4 2 56 0.158398957112209 1.11990087563105
"142" "AD" 4 2 56 0.251066922727465 1.06638026949635
"143" "AD" 4 2 56 0.316797914224418 1.06743083391516
"144" "AD" 4 2 56 0.397887357729738 1.06872686919697
"145" "AD" 4 2 56 0.50213384545493 1.05486132530933
"146" "AD" 4 2 56 0.630611673265862 1.03777283629667
"147" "AD" 4 2 56 0.795774715459477 1.03849270574917
"148" "AD" 4 2 56 0.99945325388133 1.03938044646885
